doc_id,dname,gender,qualification,job_specification,hosp_name
83,Gabriela Pollard,M,MS,Surgeon,Salamaniya Hospital
84,Terri Kirby,M,MBBS,Nephrologist,St Thomas Hospital London
85,Michael Johnson,M,Board Certified,Pediatrician,King Faisal Specialist Hospital & Research Centre
86,Jessica Jimenez,M,MS,Anatomy,American Mission Hospital
87,Alyssa Calderon,M,MBBS,Physiotherapist,King Faisal Specialist Hospital & Research Centre
88,Michelle Larson,M,Residency,Physiotherapist,Al-Hilal Hospital
89,Timothy Nguyen,F,BPT,Radiologist,Al-Hilal Hospital
90,Anna Galvan,M,D.M.,Physiotherapist,Al-Hilal Hospital
91,Dylan Flores,M,D.M.,Dermatologist,American Mission Hospital
92,Jeffrey Lopez,F,Board Certified,Dermatologist,Mayo Clinic
93,Megan Obrien,M,MBBS,Dermatologist,Al-Hilal Hospital
94,Kathleen Bryant,M,D.M.,Dermatologist,Dar Al Shifa Hospital
95,Austin Dickerson,M,MBBS,Pediatrician,King Faisal Specialist Hospital & Research Centre
96,Brandon Peterson,M,D.M.,Physiotherapist,Emirates Hospital
97,Nancy Lam,M,Board Certified,Anesthologist,American Mission Hospital
98,Katherine Wilson,M,MD,Pediatrician,Salamaniya Hospital
99,James Foley,M,MS,Anatomy,St Thomas Hospital London
100,Tamara Wilson,F,D.M.,Opthalmologist,American Mission Hospital
101,Melissa Landry,M,MBBS,Anatomy,Mayo Clinic
102,Richard Chavez,F,Residency,Surgeon,Dar Al Shifa Hospital
103,Christine Robinson,M,MD,Physiotherapist,Dar Al Shifa Hospital
104,Amber Adams,M,MS,Nephrologist,Salamaniya Hospital
105,Jonathan Burns,M,MD,Nephrologist,King Faisal Specialist Hospital & Research Centre
106,James Miller,M,BPT,Nephrologist,Salamaniya Hospital
107,Steven Watts,M,D.M.,Anesthologist,Mayo Clinic
108,Maria Carter,M,D.M.,Radiologist,Salamaniya Hospital
109,Kara Blackburn,M,D.M.,Psychiatrist,King Faisal Specialist Hospital & Research Centre
110,Judy Gay,M,BPT,Pediatrician,American Mission Hospital
111,Thomas Abbott,M,BPT,Radiologist,St Thomas Hospital London
112,Kurt Sanders,M,MBBS,Physiotherapist,St Thomas Hospital London
113,James Gordon,F,MS,Psychiatrist,King Hamad University Hospital
114,Mackenzie Cannon,F,BPT,Surgeon,King Faisal Specialist Hospital & Research Centre
115,Sharon Garcia,M,Board Certified,Psychiatrist,King Hamad University Hospital
116,Douglas Byrd,M,Board Certified,Anatomy,King Hamad University Hospital
117,Daniel Gonzalez,M,Residency,Anesthologist,King Hamad University Hospital
118,Janet Ward,M,Residency,Nephrologist,Al-Hilal Hospital
119,Melissa Smith,M,MD,Psychiatrist,Dar Al Shifa Hospital
120,Scott Sloan,M,MD,Radiologist,King Faisal Specialist Hospital & Research Centre
121,Mary Sanders,M,BPT,Surgeon,Al-Hilal Hospital
122,Jerry Rose,M,MS,Anatomy,Dar Al Shifa Hospital
123,Paula Herrera,M,Board Certified,Anesthologist,Mayo Clinic
124,Colin Scott DVM,M,MS,Anatomy,Emirates Hospital
125,Michael Gay,M,MBBS,Pediatrician,King Hamad University Hospital
126,Melanie Gomez,F,MS,Nephrologist,Emirates Hospital
127,Jacob Smith,F,MS,Nephrologist,Al-Hilal Hospital
128,Steven Pugh,M,D.M.,Physiotherapist,King Hamad University Hospital
129,Jamie Johnson,M,MBBS,Physiotherapist,Bahrain Defence Force Hospital
130,Richard Kidd,M,BPT,Radiologist,King Faisal Specialist Hospital & Research Centre
131,Christopher Page,M,MD,Radiologist,Emirates Hospital
132,Crystal Velasquez,M,BPT,Anesthologist,Emirates Hospital
133,Robert Parks,M,Residency,Pediatrician,Emirates Hospital
134,Emily Mejia,M,Residency,Dermatologist,Dar Al Shifa Hospital
135,Larry Lewis,M,Residency,Nephrologist,Emirates Hospital
136,Scott Glass,M,MD,Anesthologist,St Thomas Hospital London
137,Shawna Nunez DDS,F,MBBS,Opthalmologist,Mayo Clinic
138,Deanna Morris,M,MBBS,Radiologist,Bahrain Defence Force Hospital
139,Raven Tran,M,Residency,Surgeon,St Thomas Hospital London
140,David Taylor,M,MBBS,Radiologist,King Faisal Specialist Hospital & Research Centre
141,Fred Crosby,M,MBBS,Dermatologist,Dar Al Shifa Hospital
142,Julie Taylor,F,MBBS,Dermatologist,Salamaniya Hospital
143,Philip Elliott,M,MS,Nephrologist,St Thomas Hospital London
144,Sonia Clark,M,Residency,Nephrologist,Emirates Hospital
145,Catherine Zamora,M,MS,Opthalmologist,St Thomas Hospital London
146,Margaret Simon,M,MD,Physiotherapist,American Mission Hospital
147,Lisa Castillo,M,MD,Surgeon,American Mission Hospital
148,Kelsey Jones,F,BPT,Nephrologist,King Hamad University Hospital
149,Chad Green,M,MBBS,Surgeon,Emirates Hospital
150,Joshua Wright,F,Residency,Psychiatrist,St Thomas Hospital London
151,Alfred Rodriguez,M,MBBS,Dermatologist,King Hamad University Hospital
152,Jamie Jackson,F,MS,Dermatologist,Bahrain Defence Force Hospital
153,Regina Johnson DDS,M,Residency,Psychiatrist,Mayo Clinic
154,Virginia Deleon,M,MD,Psychiatrist,St Thomas Hospital London
155,Dr. Donna Morgan,F,MBBS,Dermatologist,St Thomas Hospital London
156,Carrie Hughes,M,MBBS,Surgeon,King Faisal Specialist Hospital & Research Centre
157,Alexis Robinson,M,MD,Dermatologist,Dar Al Shifa Hospital
158,Michael Smith,M,D.M.,Opthalmologist,King Faisal Specialist Hospital & Research Centre
159,Kari Lopez,F,BPT,Nephrologist,King Hamad University Hospital
160,Michael Collins,M,MS,Pediatrician,Emirates Hospital
161,Jason Hernandez,M,MBBS,Dermatologist,Bahrain Defence Force Hospital
162,Caleb Rodriguez,M,MS,Anatomy,Dar Al Shifa Hospital
163,Susan Smith,M,MS,Pediatrician,Salamaniya Hospital
164,Stacie Dillon,M,MS,Radiologist,Dar Al Shifa Hospital
165,Austin Ibarra,M,D.M.,Pediatrician,St Thomas Hospital London
166,Monica Scott,F,BPT,Physiotherapist,St Thomas Hospital London
167,Scott Lewis,M,MS,Pediatrician,Al-Hilal Hospital
168,Amanda Wagner,M,BPT,Radiologist,Mayo Clinic
169,Mary Gillespie,F,MD,Nephrologist,American Mission Hospital
170,Mark Brown,F,Residency,Surgeon,American Mission Hospital
171,Eric Byrd,M,MBBS,Dermatologist,Emirates Hospital
172,Jonathan Thompson,M,Residency,Physiotherapist,Salamaniya Hospital
173,Betty Miller,M,MBBS,Physiotherapist,Dar Al Shifa Hospital
174,Maria Garcia,F,MS,Anesthologist,King Hamad University Hospital
175,Rebecca Allen,M,D.M.,Dermatologist,Mayo Clinic
176,Tricia Henry,M,MD,Nephrologist,Al-Hilal Hospital
177,Michael Brown,F,Board Certified,Physiotherapist,King Hamad University Hospital
178,Jason Potts,M,MS,Pediatrician,St Thomas Hospital London
179,Megan Vincent,M,Residency,Surgeon,Mayo Clinic
180,Mitchell Nichols,M,BPT,Psychiatrist,Emirates Hospital
181,Dylan Fitzpatrick,M,D.M.,Nephrologist,King Hamad University Hospital
182,James Rivera,M,MS,Nephrologist,Bahrain Defence Force Hospital
183,Alexander Bates,M,Board Certified,Anesthologist,Mayo Clinic
184,James Bradley,M,BPT,Psychiatrist,Mayo Clinic
185,Daniel Hammond,M,D.M.,Radiologist,Al-Hilal Hospital
186,Julie Taylor,M,MS,Anatomy,King Hamad University Hospital
187,Dawn Wilkerson,M,Board Certified,Opthalmologist,St Thomas Hospital London
188,Miranda Morris,F,MS,Anatomy,Mayo Clinic
189,Mary Martinez,M,D.M.,Physiotherapist,Mayo Clinic
190,William Bullock,M,D.M.,Opthalmologist,Salamaniya Hospital
191,Patrick Williams,M,D.M.,Physiotherapist,St Thomas Hospital London
192,Gregory Jackson,F,Residency,Radiologist,Bahrain Defence Force Hospital
193,David James,M,MS,Radiologist,St Thomas Hospital London
194,Vincent Duran,M,Residency,Radiologist,Al-Hilal Hospital
195,Jeffrey Parker,M,MBBS,Radiologist,Mayo Clinic
196,Jaime Waters,F,MS,Radiologist,Dar Al Shifa Hospital
197,Christopher Acevedo,M,MS,Surgeon,Mayo Clinic
198,Carlos Moyer,M,BPT,Radiologist,Mayo Clinic
199,Theresa Morales,M,MS,Physiotherapist,Al-Hilal Hospital
200,Herbert Osborne,M,Residency,Pediatrician,St Thomas Hospital London
201,Michael Torres,M,D.M.,Pediatrician,Salamaniya Hospital
202,Joseph Wilson,M,Residency,Pediatrician,Emirates Hospital
203,Shirley Morgan,M,MBBS,Radiologist,Emirates Hospital
204,Terrance Murray,M,Residency,Anatomy,King Faisal Specialist Hospital & Research Centre
205,Samuel Kennedy,M,Board Certified,Pediatrician,Dar Al Shifa Hospital
206,Tiffany Johnson MD,M,MS,Physiotherapist,Dar Al Shifa Hospital
207,Charles Robertson,M,D.M.,Surgeon,St Thomas Hospital London
208,Joshua Summers,M,MD,Surgeon,Emirates Hospital
209,John Mcfarland,F,MD,Nephrologist,Emirates Hospital
210,Robert Bender,M,MBBS,Physiotherapist,King Hamad University Hospital
211,Victoria Beard,M,MBBS,Dermatologist,Dar Al Shifa Hospital
212,James Guerra,M,Residency,Opthalmologist,Mayo Clinic
213,Heather Chen,F,MD,Radiologist,Dar Al Shifa Hospital
214,Stephanie Harris,M,MD,Nephrologist,King Hamad University Hospital
215,Katherine Walker,M,MD,Anesthologist,Bahrain Defence Force Hospital
216,Susan Cline,M,BPT,Psychiatrist,American Mission Hospital
217,Richard Robinson,M,BPT,Pediatrician,Bahrain Defence Force Hospital
218,John Lewis,M,MBBS,Radiologist,King Hamad University Hospital
219,Erin Watson,M,MBBS,Dermatologist,Salamaniya Hospital
220,Sarah Christensen,M,BPT,Pediatrician,King Hamad University Hospital
221,Erika Kelly,M,D.M.,Anesthologist,St Thomas Hospital London
222,Anthony Ruiz,M,MD,Opthalmologist,Salamaniya Hospital
223,William Davis,M,MD,Psychiatrist,Bahrain Defence Force Hospital
224,Sonia Flores,M,MS,Radiologist,American Mission Hospital
225,Cory Bullock,M,MS,Pediatrician,King Hamad University Hospital
226,Thomas Wilson,M,MS,Opthalmologist,Dar Al Shifa Hospital
227,Samuel Lopez,M,BPT,Nephrologist,American Mission Hospital
228,David Clark,M,MD,Surgeon,Al-Hilal Hospital
229,Kristina Torres,M,Residency,Surgeon,Salamaniya Hospital
230,Chelsea King,M,Residency,Anesthologist,Bahrain Defence Force Hospital
231,Lisa Mullins,M,Residency,Radiologist,King Hamad University Hospital
232,Christopher Rogers,F,Board Certified,Radiologist,King Faisal Specialist Hospital & Research Centre
233,Mark Richards,M,MD,Anesthologist,Al-Hilal Hospital
234,Mr. Kenneth Doyle,M,Residency,Surgeon,Emirates Hospital
235,Stephen Berg,F,BPT,Anatomy,St Thomas Hospital London
236,Arthur Johnson,M,Residency,Surgeon,St Thomas Hospital London
237,Angela Taylor,M,Residency,Radiologist,Salamaniya Hospital
238,Aaron Tran,M,D.M.,Anesthologist,St Thomas Hospital London
239,Benjamin Jensen,M,Board Certified,Anesthologist,Emirates Hospital
240,Ryan Reed,M,MD,Physiotherapist,Salamaniya Hospital
241,Brandon Johnson,M,BPT,Radiologist,King Faisal Specialist Hospital & Research Centre
242,Kimberly Mosley,M,Residency,Surgeon,Emirates Hospital
243,Patrick Brown,M,MBBS,Psychiatrist,Mayo Clinic
244,Stephen Nelson,M,MBBS,Radiologist,Al-Hilal Hospital
245,Lauren Sullivan,F,D.M.,Anatomy,St Thomas Hospital London
246,Ryan Bennett,M,BPT,Anesthologist,King Hamad University Hospital
247,Emily White,M,MS,Nephrologist,Dar Al Shifa Hospital
248,Kevin Edwards,M,MS,Dermatologist,Emirates Hospital
249,Richard Martin,M,MBBS,Radiologist,Emirates Hospital
250,Jacqueline Armstrong,M,D.M.,Anesthologist,Bahrain Defence Force Hospital
251,Elizabeth Jackson,M,MS,Physiotherapist,Bahrain Defence Force Hospital
252,Alisha Martin,M,Residency,Opthalmologist,Mayo Clinic
253,Mark Jordan,F,Residency,Opthalmologist,Al-Hilal Hospital
254,Joseph Petersen,M,D.M.,Radiologist,King Faisal Specialist Hospital & Research Centre
255,Crystal Johnson,M,BPT,Physiotherapist,Dar Al Shifa Hospital
256,Mr. Daniel Beck,M,Board Certified,Radiologist,Emirates Hospital
257,Sharon Coleman,M,MBBS,Radiologist,St Thomas Hospital London
258,Wendy Rodriguez,M,MS,Dermatologist,American Mission Hospital
259,Bryan Jones,M,Board Certified,Surgeon,St Thomas Hospital London
260,Erica Ray,M,BPT,Opthalmologist,Salamaniya Hospital
261,Jeffrey Howard,M,Board Certified,Physiotherapist,Salamaniya Hospital
262,Jose Reeves,M,BPT,Physiotherapist,Dar Al Shifa Hospital
263,Kirsten Miles,M,D.M.,Dermatologist,Mayo Clinic
264,Jeffrey Sullivan,F,MBBS,Anesthologist,King Hamad University Hospital
265,Melissa Gray DDS,M,MS,Anatomy,Salamaniya Hospital
266,Christopher Atkinson,M,Board Certified,Dermatologist,Al-Hilal Hospital
267,Timothy Dixon,M,MS,Radiologist,Salamaniya Hospital
268,Tiffany Dillon,F,D.M.,Physiotherapist,Al-Hilal Hospital
269,Mark Stewart,M,Residency,Anesthologist,Mayo Clinic
270,Joseph Flores,M,D.M.,Anatomy,King Faisal Specialist Hospital & Research Centre
271,James Bell,M,D.M.,Physiotherapist,Emirates Hospital
272,Glenn Maddox,M,MD,Surgeon,Al-Hilal Hospital
273,Zachary Adams,M,MS,Physiotherapist,St Thomas Hospital London
274,Tamara Edwards,F,BPT,Anatomy,Bahrain Defence Force Hospital
275,Ryan Gonzalez,M,Residency,Radiologist,King Faisal Specialist Hospital & Research Centre
276,Michael Williams,M,Board Certified,Psychiatrist,Al-Hilal Hospital
277,John Boyle,M,MD,Physiotherapist,American Mission Hospital
278,Matthew Perry,M,D.M.,Surgeon,Mayo Clinic
279,Julie Williams,F,MBBS,Opthalmologist,Dar Al Shifa Hospital
280,Gregory Alvarez,M,MS,Opthalmologist,Mayo Clinic
281,Stephanie Davies,M,BPT,Surgeon,Emirates Hospital
282,Gregory Wagner,M,MBBS,Opthalmologist,St Thomas Hospital London
283,Ian Delacruz,M,Board Certified,Physiotherapist,Emirates Hospital
284,Joseph Perez,M,D.M.,Nephrologist,Al-Hilal Hospital
285,Michael Manning,M,MS,Physiotherapist,Dar Al Shifa Hospital
286,Samantha Booth,M,BPT,Surgeon,Al-Hilal Hospital
287,Oscar Clark,M,Board Certified,Anesthologist,St Thomas Hospital London
288,Annette Grant,M,Board Certified,Opthalmologist,Mayo Clinic
289,Carla Willis,M,BPT,Pediatrician,Salamaniya Hospital
290,Megan Anderson,M,BPT,Anatomy,Mayo Clinic
291,Sheri Baker,F,Board Certified,Opthalmologist,King Hamad University Hospital
292,Ryan Davis,M,Residency,Psychiatrist,American Mission Hospital
293,Brett Kramer,M,MS,Anatomy,Al-Hilal Hospital
294,Gregory Wallace,F,BPT,Psychiatrist,St Thomas Hospital London
295,Curtis Clark,M,MBBS,Dermatologist,King Hamad University Hospital
296,Lauren Moore,M,D.M.,Psychiatrist,Dar Al Shifa Hospital
297,Charles Martinez,M,Residency,Psychiatrist,Dar Al Shifa Hospital
298,Bryan Smith,M,MD,Anatomy,Bahrain Defence Force Hospital
299,Danielle Stevens,F,D.M.,Dermatologist,Al-Hilal Hospital
300,Jonathan Gonzalez,M,Board Certified,Physiotherapist,American Mission Hospital
301,James Miller,M,Board Certified,Nephrologist,Emirates Hospital
302,Lydia Rodriguez,F,MS,Surgeon,St Thomas Hospital London
303,Mary Logan,M,MD,Nephrologist,St Thomas Hospital London
304,Ashley Conrad,F,D.M.,Nephrologist,Bahrain Defence Force Hospital
305,Dale Wallace,F,BPT,Surgeon,American Mission Hospital
306,Rebecca Castillo,F,BPT,Surgeon,Salamaniya Hospital
307,Rebecca Brown,F,Residency,Dermatologist,Al-Hilal Hospital
308,Michael Taylor,M,Board Certified,Pediatrician,King Faisal Specialist Hospital & Research Centre
309,Katherine Coleman,F,D.M.,Radiologist,St Thomas Hospital London
310,Eric Mueller,M,D.M.,Radiologist,Bahrain Defence Force Hospital
311,John Sanchez,M,Residency,Psychiatrist,Bahrain Defence Force Hospital
312,Alexa Jones,M,MBBS,Anatomy,Mayo Clinic
313,Vincent Phillips,M,MS,Physiotherapist,King Hamad University Hospital
314,Matthew Crawford,M,Residency,Surgeon,Salamaniya Hospital
315,Christian King,F,BPT,Opthalmologist,Dar Al Shifa Hospital
316,Erin Strickland,F,MD,Psychiatrist,King Hamad University Hospital
317,Colleen Miller,M,Residency,Nephrologist,Mayo Clinic
318,Christopher Sanchez,M,Residency,Surgeon,King Faisal Specialist Hospital & Research Centre
319,Amanda Jones,M,MS,Psychiatrist,St Thomas Hospital London
320,Melissa Nichols,M,MD,Surgeon,King Faisal Specialist Hospital & Research Centre
321,Christina Morales,M,Residency,Radiologist,King Faisal Specialist Hospital & Research Centre
322,April Reynolds,M,BPT,Nephrologist,Dar Al Shifa Hospital
323,Tamara Navarro,F,D.M.,Opthalmologist,Emirates Hospital
324,Kyle Miller,M,Residency,Radiologist,King Hamad University Hospital
325,Daniel Mcdowell,M,D.M.,Surgeon,Al-Hilal Hospital
326,Jane Orr,M,Board Certified,Physiotherapist,King Hamad University Hospital
327,Robert Lopez,M,MS,Radiologist,Dar Al Shifa Hospital
328,Alyssa Gibson,M,MS,Anatomy,King Faisal Specialist Hospital & Research Centre
329,Cindy Jones,M,MD,Pediatrician,Dar Al Shifa Hospital
330,Philip Davis,M,Board Certified,Opthalmologist,Emirates Hospital
331,Michele Garcia,M,D.M.,Surgeon,Al-Hilal Hospital
332,David Mack,M,BPT,Physiotherapist,St Thomas Hospital London
333,Mckenzie Miller,M,Residency,Radiologist,King Hamad University Hospital
334,Steven Calhoun,F,MS,Anesthologist,Mayo Clinic
335,Alexander Bell,M,BPT,Physiotherapist,Mayo Clinic
336,David Wu,M,MS,Physiotherapist,Dar Al Shifa Hospital
337,Janet Mclean,M,MD,Nephrologist,Dar Al Shifa Hospital
338,Brenda Sanchez,M,MD,Nephrologist,Mayo Clinic
339,Anna Mitchell,M,MD,Opthalmologist,Salamaniya Hospital
340,Erik Hicks,F,MD,Psychiatrist,Mayo Clinic
341,Nathaniel Harper,M,MS,Physiotherapist,Mayo Clinic
342,Michael Clay,M,MD,Psychiatrist,Mayo Clinic
343,Andrea Cox,M,MBBS,Opthalmologist,Bahrain Defence Force Hospital
344,Charles Jenkins,M,Board Certified,Surgeon,Emirates Hospital
345,Tyler Duarte,M,MD,Radiologist,Bahrain Defence Force Hospital
346,Cristian Gregory,M,Residency,Pediatrician,St Thomas Hospital London
347,Caroline Frost,F,Residency,Anatomy,King Faisal Specialist Hospital & Research Centre
348,Carlos Brown,M,MBBS,Anatomy,American Mission Hospital
349,Logan Aguilar,M,BPT,Anesthologist,Al-Hilal Hospital
350,Brandon Carson,M,Board Certified,Anesthologist,Emirates Hospital
351,Nicholas Evans,M,MD,Physiotherapist,Dar Al Shifa Hospital
352,Brittany Glover,M,Board Certified,Physiotherapist,Al-Hilal Hospital
353,Austin Johnson,M,Board Certified,Anesthologist,King Faisal Specialist Hospital & Research Centre
354,Victoria Davis,M,BPT,Physiotherapist,Bahrain Defence Force Hospital
355,Phillip Davis,M,BPT,Physiotherapist,Al-Hilal Hospital
356,John Washington,M,MS,Pediatrician,Bahrain Defence Force Hospital
357,Scott Holden,F,MD,Dermatologist,Mayo Clinic
358,Heather Harris,F,MS,Psychiatrist,American Mission Hospital
359,Christine Griffith,M,Board Certified,Pediatrician,King Faisal Specialist Hospital & Research Centre
360,Victoria Flores,M,D.M.,Radiologist,Salamaniya Hospital
361,Beth Anderson,M,MBBS,Opthalmologist,Bahrain Defence Force Hospital
362,Richard Adams,M,Board Certified,Physiotherapist,King Hamad University Hospital
363,Anna Hanna,M,MBBS,Surgeon,Salamaniya Hospital
364,Yvette Williams,M,MBBS,Pediatrician,Salamaniya Hospital
365,Heather Rogers,M,BPT,Radiologist,King Hamad University Hospital
366,Alexa Bishop,M,MD,Nephrologist,King Hamad University Hospital
367,Daniel Mitchell,F,MS,Physiotherapist,Mayo Clinic
368,Devin Ramsey,F,MBBS,Surgeon,St Thomas Hospital London
369,Hannah Smith,F,MD,Surgeon,King Hamad University Hospital
370,Kristi Hurst,M,Residency,Psychiatrist,Dar Al Shifa Hospital
371,Alice Nelson DVM,F,MS,Opthalmologist,American Mission Hospital
372,Melissa Young,M,Residency,Anesthologist,Dar Al Shifa Hospital
373,Rhonda Torres,M,Board Certified,Nephrologist,Mayo Clinic
374,Jordan Blackwell,M,MS,Dermatologist,Dar Al Shifa Hospital
375,Derek Garcia,F,MBBS,Opthalmologist,Al-Hilal Hospital
376,Lisa Wheeler,M,MD,Pediatrician,King Faisal Specialist Hospital & Research Centre
377,James Cox,M,Residency,Psychiatrist,Mayo Clinic
378,Amy Perry,M,Board Certified,Dermatologist,Salamaniya Hospital
379,Angel David,M,MD,Psychiatrist,King Faisal Specialist Hospital & Research Centre
380,Richard Parks,M,Residency,Nephrologist,King Hamad University Hospital
381,Michael Hebert,M,Board Certified,Surgeon,American Mission Hospital
382,Gary Simmons,M,Board Certified,Anatomy,Dar Al Shifa Hospital
383,Kenneth Cole,M,MD,Psychiatrist,Dar Al Shifa Hospital
384,Brian Hopkins,M,BPT,Anatomy,King Faisal Specialist Hospital & Research Centre
385,David Jones,F,MS,Opthalmologist,Dar Al Shifa Hospital
386,Benjamin Mckinney,M,Residency,Opthalmologist,Bahrain Defence Force Hospital
387,Jason Bradley,M,MD,Physiotherapist,American Mission Hospital
388,Lisa Hartman,F,MD,Physiotherapist,American Mission Hospital
389,Andrew Jackson,M,Residency,Anatomy,King Hamad University Hospital
390,Bryan Little,M,MS,Anesthologist,Emirates Hospital
391,Eddie Brown,F,MBBS,Dermatologist,St Thomas Hospital London
392,Brian Foster MD,M,BPT,Surgeon,King Hamad University Hospital
