visit_date,ssn,hosp_name
2020/7/12,100000006,Dar Al Shifa Hospital
2020/10/19,100000246,Bahrain Defence Force Hospital
2021/6/25,100000138,Dar Al Shifa Hospital
2021/5/9,100000091,Emirates Hospital
2020/5/24,100000183,Emirates Hospital
2019/7/10,100000147,St Thomas Hospital London
2019/3/8,100000140,Emirates Hospital
2021/5/12,100000217,King Hamad University Hospital
2020/11/27,100000094,Bahrain Defence Force Hospital
2020/11/16,100000086,St Thomas Hospital London
2019/10/23,100000057,Al-Hilal Hospital
2021/6/23,100000225,Bahrain Defence Force Hospital
2019/11/26,100000290,King Hamad University Hospital
2020/11/15,100000224,St Thomas Hospital London
2021/5/15,100000234,Dar Al Shifa Hospital
2019/3/8,100000107,Al-Hilal Hospital
2021/6/1,100000287,Salamaniya Hospital
2021/2/10,100000291,Al-Hilal Hospital
2019/9/13,100000249,King Hamad University Hospital
2021/11/3,100000224,Mayo Clinic
2021/11/15,100000272,Bahrain Defence Force Hospital
2020/11/6,100000062,King Faisal Specialist Hospital & Research Centre
2021/11/3,100000094,King Hamad University Hospital
2020/5/24,100000051,Mayo Clinic
2019/9/19,100000243,American Mission Hospital
2019/10/13,100000286,Salamaniya Hospital
2020/4/25,100000137,Salamaniya Hospital
2020/8/14,100000224,Emirates Hospital
2020/4/16,100000268,King Hamad University Hospital
2020/4/17,100000281,St Thomas Hospital London
2019/11/11,100000080,Emirates Hospital
2021/8/18,100000067,Salamaniya Hospital
2020/3/15,100000034,King Hamad University Hospital
2020/6/12,100000022,Bahrain Defence Force Hospital
2019/10/13,100000282,Mayo Clinic
2020/1/9,100000263,Bahrain Defence Force Hospital
2020/4/19,100000089,St Thomas Hospital London
2021/4/18,100000081,Emirates Hospital
2019/5/12,100000237,Dar Al Shifa Hospital
2019/4/25,100000068,Bahrain Defence Force Hospital
2019/5/2,100000095,Emirates Hospital
2019/10/18,100000264,King Faisal Specialist Hospital & Research Centre
2020/7/4,100000028,St Thomas Hospital London
2021/5/11,100000060,Al-Hilal Hospital
2020/8/24,100000162,King Hamad University Hospital
2019/3/22,100000065,Salamaniya Hospital
2021/3/19,100000234,St Thomas Hospital London
2019/5/12,100000297,Emirates Hospital
2020/11/13,100000044,Mayo Clinic
2020/6/10,100000182,Salamaniya Hospital
2020/11/13,100000041,Al-Hilal Hospital
2021/2/3,100000254,American Mission Hospital
2020/3/19,100000194,Emirates Hospital
2020/8/2,100000069,American Mission Hospital
2020/8/2,100000108,Mayo Clinic
2020/3/12,100000007,Bahrain Defence Force Hospital
2021/4/17,100000252,Emirates Hospital
2019/6/9,100000268,Al-Hilal Hospital
2020/2/14,100000231,St Thomas Hospital London
2021/5/18,100000064,Mayo Clinic
2021/2/22,100000025,Salamaniya Hospital
2020/11/11,100000247,St Thomas Hospital London
2020/11/26,100000046,King Hamad University Hospital
2020/7/1,100000159,Salamaniya Hospital
2020/7/17,100000292,St Thomas Hospital London
2020/5/14,100000235,Salamaniya Hospital
2021/5/15,100000036,St Thomas Hospital London
2021/11/11,100000080,Emirates Hospital
2019/9/21,100000287,St Thomas Hospital London
2021/3/5,100000190,St Thomas Hospital London
2021/3/18,100000055,King Faisal Specialist Hospital & Research Centre
2020/4/6,100000075,American Mission Hospital
2020/5/9,100000208,American Mission Hospital
2021/1/4,100000116,Salamaniya Hospital
2020/11/22,100000003,Al-Hilal Hospital
2019/4/10,100000015,King Faisal Specialist Hospital & Research Centre
2019/8/18,100000056,King Hamad University Hospital
2020/8/13,100000188,Salamaniya Hospital
2019/3/11,100000249,Salamaniya Hospital
2019/10/4,100000275,King Hamad University Hospital
2020/1/2,100000160,St Thomas Hospital London
2020/6/7,100000056,King Faisal Specialist Hospital & Research Centre
2019/5/6,100000284,Dar Al Shifa Hospital
2021/9/23,100000152,King Faisal Specialist Hospital & Research Centre
2019/5/9,100000156,King Hamad University Hospital
2020/8/7,100000171,Emirates Hospital
2021/9/22,100000175,Emirates Hospital
2020/5/18,100000070,King Faisal Specialist Hospital & Research Centre
2019/2/4,100000264,King Hamad University Hospital
2021/5/14,100000123,St Thomas Hospital London
2021/8/1,100000035,King Hamad University Hospital
2021/5/8,100000271,Emirates Hospital
2019/3/20,100000017,King Hamad University Hospital
2019/1/6,100000021,Dar Al Shifa Hospital
2021/4/13,100000197,Dar Al Shifa Hospital
2019/2/13,100000108,Salamaniya Hospital
2021/1/12,100000012,Dar Al Shifa Hospital
2020/8/15,100000076,Bahrain Defence Force Hospital
2021/3/22,100000238,Mayo Clinic
2020/2/9,100000251,Dar Al Shifa Hospital
2021/2/4,100000077,King Faisal Specialist Hospital & Research Centre
2019/5/16,100000241,Al-Hilal Hospital
2019/7/14,100000062,Salamaniya Hospital
2021/2/16,100000187,Salamaniya Hospital
2019/9/27,100000246,American Mission Hospital
2021/6/8,100000075,American Mission Hospital
2020/9/10,100000217,Salamaniya Hospital
2020/5/14,100000113,American Mission Hospital
2021/11/15,100000004,Emirates Hospital
2020/5/5,100000222,Bahrain Defence Force Hospital
2021/1/3,100000226,Mayo Clinic
2020/7/4,100000067,Al-Hilal Hospital
2021/9/13,100000015,Al-Hilal Hospital
2021/1/1,100000128,Emirates Hospital
2020/10/4,100000185,Dar Al Shifa Hospital
2019/6/27,100000112,King Faisal Specialist Hospital & Research Centre
2019/8/12,100000188,Emirates Hospital
2019/6/25,100000056,King Faisal Specialist Hospital & Research Centre
2021/1/8,100000148,Bahrain Defence Force Hospital
2020/10/27,100000172,Bahrain Defence Force Hospital
2021/10/4,100000042,Salamaniya Hospital
2021/5/25,100000195,King Hamad University Hospital
2020/3/7,100000200,American Mission Hospital
2021/3/20,100000006,Dar Al Shifa Hospital
2019/3/21,100000147,Dar Al Shifa Hospital
2019/7/19,100000219,Salamaniya Hospital
2019/8/23,100000111,Mayo Clinic
2020/3/22,100000143,St Thomas Hospital London
2021/3/13,100000015,Dar Al Shifa Hospital
2020/9/1,100000082,Emirates Hospital
2019/10/20,100000257,King Faisal Specialist Hospital & Research Centre
2019/7/19,100000178,Al-Hilal Hospital
2020/1/7,100000094,King Faisal Specialist Hospital & Research Centre
2019/2/15,100000156,American Mission Hospital
2020/4/11,100000032,Al-Hilal Hospital
2020/11/18,100000076,St Thomas Hospital London
2020/7/3,100000194,St Thomas Hospital London
2021/4/23,100000132,King Faisal Specialist Hospital & Research Centre
2021/7/11,100000081,Mayo Clinic
2020/11/19,100000035,Bahrain Defence Force Hospital
2020/3/12,100000279,Mayo Clinic
2021/3/24,100000261,King Hamad University Hospital
2020/6/12,100000246,St Thomas Hospital London
2020/11/15,100000259,Mayo Clinic
2020/4/4,100000292,American Mission Hospital
2019/9/4,100000199,Emirates Hospital
2021/11/6,100000135,Mayo Clinic
2021/9/16,100000276,Dar Al Shifa Hospital
2020/11/9,100000043,King Faisal Specialist Hospital & Research Centre
2021/5/24,100000172,Dar Al Shifa Hospital
2019/5/3,100000275,King Faisal Specialist Hospital & Research Centre
2019/4/21,100000001,Emirates Hospital
2021/1/26,100000299,Dar Al Shifa Hospital
2020/2/18,100000024,Salamaniya Hospital
2019/9/24,100000039,St Thomas Hospital London
2019/6/17,100000099,Salamaniya Hospital
2019/1/19,100000006,Mayo Clinic
2020/7/3,100000248,Dar Al Shifa Hospital
2020/11/10,100000087,St Thomas Hospital London
2021/1/23,100000144,Mayo Clinic
2021/5/15,100000002,Salamaniya Hospital
2021/9/5,100000113,Emirates Hospital
2019/10/18,100000029,Salamaniya Hospital
2020/2/23,100000087,Emirates Hospital
2019/4/19,100000269,Salamaniya Hospital
2020/2/1,100000033,St Thomas Hospital London
2021/3/13,100000036,Emirates Hospital
2019/10/4,100000218,American Mission Hospital
2019/11/21,100000152,King Faisal Specialist Hospital & Research Centre
2021/5/12,100000161,Bahrain Defence Force Hospital
2020/10/15,100000040,American Mission Hospital
2019/6/5,100000252,Al-Hilal Hospital
2020/11/21,100000198,Emirates Hospital
2020/10/1,100000077,American Mission Hospital
2019/9/25,100000241,Bahrain Defence Force Hospital
2020/11/18,100000232,American Mission Hospital
2020/5/7,100000179,American Mission Hospital
2019/2/16,100000066,Mayo Clinic
2020/11/4,100000180,St Thomas Hospital London
2021/9/20,100000014,Dar Al Shifa Hospital
2020/11/9,100000088,Mayo Clinic
2019/4/8,100000145,Al-Hilal Hospital
2020/9/17,100000173,King Hamad University Hospital
2020/3/26,100000077,American Mission Hospital
2021/9/13,100000268,Dar Al Shifa Hospital
2021/1/2,100000255,Dar Al Shifa Hospital
2021/4/3,100000252,Dar Al Shifa Hospital
2021/1/1,100000200,Mayo Clinic
2019/3/21,100000132,Dar Al Shifa Hospital
2021/8/9,100000186,Bahrain Defence Force Hospital
2019/10/2,100000273,Salamaniya Hospital
2021/3/26,100000275,King Faisal Specialist Hospital & Research Centre
2020/10/2,100000230,Emirates Hospital
2019/8/8,100000285,King Hamad University Hospital
2021/10/19,100000246,Mayo Clinic
2021/5/24,100000018,Bahrain Defence Force Hospital
2020/5/14,100000073,King Hamad University Hospital
2020/6/18,100000014,Emirates Hospital
2020/7/20,100000090,Emirates Hospital
2020/11/2,100000197,King Faisal Specialist Hospital & Research Centre
2019/2/4,100000283,Salamaniya Hospital
2021/4/20,100000280,Emirates Hospital
2021/11/6,100000001,Emirates Hospital
2021/11/23,100000297,King Hamad University Hospital
2019/8/26,100000025,Salamaniya Hospital
2021/11/8,100000196,Al-Hilal Hospital
2021/7/16,100000159,American Mission Hospital
2021/7/6,100000176,St Thomas Hospital London
2020/1/16,100000283,American Mission Hospital
2020/7/24,100000023,St Thomas Hospital London
2019/11/26,100000157,Dar Al Shifa Hospital
2020/6/7,100000282,American Mission Hospital
2020/11/6,100000117,American Mission Hospital
2019/11/25,100000177,St Thomas Hospital London
2019/8/27,100000182,Bahrain Defence Force Hospital
2021/7/10,100000183,Dar Al Shifa Hospital
2019/7/8,100000291,Mayo Clinic
2020/8/2,100000161,St Thomas Hospital London
2021/9/25,100000124,Bahrain Defence Force Hospital
2020/9/21,100000161,Emirates Hospital
2021/5/11,100000108,King Hamad University Hospital
2019/10/20,100000014,King Hamad University Hospital
2021/1/24,100000120,Dar Al Shifa Hospital
2020/8/4,100000256,Salamaniya Hospital
2021/6/14,100000206,King Faisal Specialist Hospital & Research Centre
2019/8/3,100000086,Salamaniya Hospital
2021/11/7,100000117,St Thomas Hospital London
2019/2/4,100000091,King Faisal Specialist Hospital & Research Centre
2019/6/18,100000099,King Faisal Specialist Hospital & Research Centre
2020/5/25,100000116,Mayo Clinic
2019/1/19,100000066,Mayo Clinic
2019/11/18,100000214,King Hamad University Hospital
2020/11/17,100000268,St Thomas Hospital London
2019/10/4,100000213,Salamaniya Hospital
2019/9/10,100000054,King Hamad University Hospital
2019/2/14,100000131,Salamaniya Hospital
2019/9/2,100000096,King Faisal Specialist Hospital & Research Centre
2020/11/5,100000091,Salamaniya Hospital
2020/4/1,100000097,Mayo Clinic
2021/1/6,100000203,St Thomas Hospital London
2020/10/5,100000129,American Mission Hospital
2020/9/10,100000152,St Thomas Hospital London
2019/9/6,100000133,American Mission Hospital
2021/4/8,100000247,King Hamad University Hospital
2020/8/21,100000120,St Thomas Hospital London
2021/6/3,100000088,St Thomas Hospital London
2021/9/25,100000191,Dar Al Shifa Hospital
2020/1/4,100000031,King Hamad University Hospital
2019/11/14,100000181,Emirates Hospital
2021/11/23,100000204,Dar Al Shifa Hospital
2021/4/13,100000280,King Hamad University Hospital
2021/8/15,100000057,Mayo Clinic
2019/6/2,100000203,King Hamad University Hospital
2019/5/17,100000246,American Mission Hospital
2021/3/12,100000166,King Faisal Specialist Hospital & Research Centre
2021/1/6,100000177,Emirates Hospital
2021/7/22,100000272,Dar Al Shifa Hospital
2020/8/12,100000010,Mayo Clinic
2021/10/12,100000036,Salamaniya Hospital
2021/3/18,100000073,Bahrain Defence Force Hospital
2021/7/14,100000197,King Hamad University Hospital
2019/7/7,100000056,Emirates Hospital
2019/3/19,100000203,American Mission Hospital
2020/5/5,100000096,Mayo Clinic
2019/3/25,100000261,Al-Hilal Hospital
2020/8/24,100000076,King Faisal Specialist Hospital & Research Centre
2021/5/3,100000162,American Mission Hospital
2019/6/20,100000243,King Hamad University Hospital
2021/10/11,100000144,King Hamad University Hospital
2019/6/15,100000266,Bahrain Defence Force Hospital
2021/11/19,100000052,Mayo Clinic
2021/10/25,100000250,Dar Al Shifa Hospital
2021/4/25,100000109,St Thomas Hospital London
2019/10/25,100000004,Al-Hilal Hospital
2020/7/19,100000277,Bahrain Defence Force Hospital
2020/3/1,100000117,Bahrain Defence Force Hospital
2020/7/24,100000078,King Hamad University Hospital
2019/11/1,100000015,Al-Hilal Hospital
2020/6/12,100000012,King Faisal Specialist Hospital & Research Centre
2020/3/6,100000143,St Thomas Hospital London
2021/1/26,100000086,Bahrain Defence Force Hospital
2020/1/19,100000243,King Hamad University Hospital
2021/1/9,100000082,Dar Al Shifa Hospital
2021/9/11,100000046,Salamaniya Hospital
2019/2/17,100000004,King Faisal Specialist Hospital & Research Centre
2021/2/8,100000174,Dar Al Shifa Hospital
2021/2/15,100000279,Mayo Clinic
2019/3/24,100000081,Mayo Clinic
2020/7/8,100000189,King Hamad University Hospital
2019/1/15,100000083,Mayo Clinic
2021/2/7,100000207,Bahrain Defence Force Hospital
2019/7/3,100000070,Al-Hilal Hospital
2020/3/13,100000089,Emirates Hospital
2021/9/21,100000050,King Hamad University Hospital
2021/11/17,100000108,Al-Hilal Hospital
2020/11/14,100000172,Mayo Clinic
2021/8/20,100000020,Emirates Hospital
2019/6/27,100000235,Al-Hilal Hospital
2019/3/19,100000193,Mayo Clinic
2020/9/21,100000077,Bahrain Defence Force Hospital
2019/5/12,100000150,Bahrain Defence Force Hospital
2019/1/13,100000110,St Thomas Hospital London
2020/11/10,100000283,American Mission Hospital
2020/9/2,100000255,St Thomas Hospital London
2020/6/6,100000032,Mayo Clinic
2020/1/6,100000057,King Faisal Specialist Hospital & Research Centre
2021/4/11,100000192,Bahrain Defence Force Hospital
2021/7/8,100000136,King Hamad University Hospital
2021/8/25,100000283,Al-Hilal Hospital
2020/1/26,100000195,King Hamad University Hospital
2020/8/24,100000104,King Faisal Specialist Hospital & Research Centre
2021/11/23,100000021,Bahrain Defence Force Hospital
2019/10/5,100000073,King Faisal Specialist Hospital & Research Centre
2020/9/5,100000058,Bahrain Defence Force Hospital
2019/8/22,100000138,Dar Al Shifa Hospital
2021/8/23,100000149,King Faisal Specialist Hospital & Research Centre
2021/9/9,100000072,King Hamad University Hospital
2019/5/13,100000108,King Hamad University Hospital
2019/6/19,100000261,Dar Al Shifa Hospital
2021/1/18,100000233,King Faisal Specialist Hospital & Research Centre
2020/4/5,100000187,Bahrain Defence Force Hospital
2021/2/6,100000210,Mayo Clinic
2021/10/9,100000046,Al-Hilal Hospital
2020/4/23,100000123,St Thomas Hospital London
2019/3/6,100000241,Bahrain Defence Force Hospital
2019/8/6,100000054,Mayo Clinic
2020/11/2,100000102,King Faisal Specialist Hospital & Research Centre
2021/11/19,100000196,King Faisal Specialist Hospital & Research Centre
2019/4/27,100000063,St Thomas Hospital London
2020/5/14,100000268,St Thomas Hospital London
2020/7/7,100000250,Emirates Hospital
2021/6/5,100000076,American Mission Hospital
2021/1/10,100000217,King Faisal Specialist Hospital & Research Centre
2021/7/26,100000167,American Mission Hospital
2019/4/13,100000136,St Thomas Hospital London
2020/10/9,100000038,King Hamad University Hospital
2019/5/24,100000244,King Faisal Specialist Hospital & Research Centre
2020/3/16,100000261,King Faisal Specialist Hospital & Research Centre
2021/4/22,100000009,King Hamad University Hospital
2021/7/24,100000233,Al-Hilal Hospital
2021/11/12,100000162,Al-Hilal Hospital
2021/1/17,100000256,King Hamad University Hospital
2020/8/23,100000260,American Mission Hospital
2019/4/11,100000123,King Faisal Specialist Hospital & Research Centre
2021/5/8,100000100,Salamaniya Hospital
2019/3/26,100000187,Emirates Hospital
2021/1/27,100000037,King Faisal Specialist Hospital & Research Centre
2019/7/24,100000008,King Hamad University Hospital
2020/3/4,100000041,Bahrain Defence Force Hospital
2021/9/24,100000282,King Hamad University Hospital
2020/9/24,100000289,Salamaniya Hospital
2021/5/4,100000029,Dar Al Shifa Hospital
2019/7/21,100000299,King Hamad University Hospital
2020/3/15,100000029,King Hamad University Hospital
2021/4/16,100000297,Emirates Hospital
2021/10/17,100000091,King Hamad University Hospital
2019/9/26,100000074,Emirates Hospital
2021/3/11,100000157,Bahrain Defence Force Hospital
2020/6/5,100000215,Mayo Clinic
2020/4/26,100000230,St Thomas Hospital London
2021/4/3,100000096,Bahrain Defence Force Hospital
2020/7/24,100000231,Al-Hilal Hospital
2019/8/26,100000220,King Hamad University Hospital
2021/11/5,100000161,Mayo Clinic
2019/4/10,100000216,American Mission Hospital
2020/1/10,100000167,Emirates Hospital
2020/9/1,100000177,American Mission Hospital
2020/1/23,100000169,St Thomas Hospital London
2020/4/25,100000258,King Hamad University Hospital
2021/1/7,100000244,Mayo Clinic
2019/7/7,100000240,Bahrain Defence Force Hospital
2020/10/14,100000063,Mayo Clinic
2020/5/19,100000073,St Thomas Hospital London
2019/3/21,100000002,Dar Al Shifa Hospital
2019/10/26,100000098,Bahrain Defence Force Hospital
2019/11/12,100000219,Dar Al Shifa Hospital
2020/5/5,100000270,American Mission Hospital
2019/8/2,100000114,Dar Al Shifa Hospital
2021/4/7,100000203,King Hamad University Hospital
2019/3/4,100000051,King Hamad University Hospital
2019/1/17,100000261,St Thomas Hospital London
2019/2/21,100000032,Salamaniya Hospital
2021/8/25,100000081,Mayo Clinic
2021/2/26,100000275,King Faisal Specialist Hospital & Research Centre
2019/1/27,100000186,Dar Al Shifa Hospital
2019/8/12,100000005,Mayo Clinic
2021/1/6,100000172,St Thomas Hospital London
2021/6/20,100000188,King Hamad University Hospital
2019/5/11,100000136,Mayo Clinic
2021/11/18,100000011,Mayo Clinic
2020/4/15,100000195,Salamaniya Hospital
2019/8/16,100000174,St Thomas Hospital London
2021/4/22,100000183,American Mission Hospital
2020/10/20,100000118,Emirates Hospital
2020/1/8,100000028,Dar Al Shifa Hospital
2021/8/1,100000171,Salamaniya Hospital
2021/1/8,100000138,King Faisal Specialist Hospital & Research Centre
2019/3/27,100000065,American Mission Hospital
2021/10/17,100000082,American Mission Hospital
2019/11/24,100000201,King Faisal Specialist Hospital & Research Centre
2020/6/5,100000017,Al-Hilal Hospital
2021/5/2,100000167,Emirates Hospital
2019/1/20,100000122,Al-Hilal Hospital
2020/5/7,100000207,King Hamad University Hospital
2021/8/20,100000201,Dar Al Shifa Hospital
2021/5/21,100000195,King Hamad University Hospital
2019/5/3,100000216,American Mission Hospital
2020/5/18,100000279,King Hamad University Hospital
2021/8/5,100000057,Dar Al Shifa Hospital
2020/5/11,100000074,King Faisal Specialist Hospital & Research Centre
2019/2/11,100000128,King Hamad University Hospital
2020/5/26,100000179,Mayo Clinic
2019/1/14,100000283,St Thomas Hospital London
2020/10/16,100000223,Bahrain Defence Force Hospital
2021/5/15,100000220,Salamaniya Hospital
2021/3/12,100000142,King Hamad University Hospital
2021/7/20,100000121,Mayo Clinic
2021/4/12,100000226,Bahrain Defence Force Hospital
2020/1/3,100000150,King Faisal Specialist Hospital & Research Centre
2021/10/11,100000268,Mayo Clinic
2021/7/2,100000154,American Mission Hospital
2020/5/2,100000198,Salamaniya Hospital
2019/5/24,100000202,King Faisal Specialist Hospital & Research Centre
2021/11/15,100000240,Salamaniya Hospital
2020/11/2,100000049,Mayo Clinic
2021/3/17,100000057,Salamaniya Hospital
2021/10/3,100000259,Emirates Hospital
2020/11/27,100000194,Emirates Hospital
2021/8/15,100000204,Mayo Clinic
2021/9/12,100000060,Emirates Hospital
2021/4/9,100000164,St Thomas Hospital London
2020/9/24,100000154,American Mission Hospital
2019/11/17,100000053,Al-Hilal Hospital
2020/7/6,100000086,King Hamad University Hospital
2019/6/5,100000214,Al-Hilal Hospital
2019/1/13,100000199,Salamaniya Hospital
2019/8/27,100000167,American Mission Hospital
2020/10/14,100000127,Emirates Hospital
2019/3/9,100000053,Mayo Clinic
2020/10/19,100000209,King Hamad University Hospital
2019/3/9,100000233,Al-Hilal Hospital
2021/9/16,100000097,Emirates Hospital
2019/2/23,100000052,Dar Al Shifa Hospital
2020/6/4,100000172,American Mission Hospital
2019/1/15,100000130,St Thomas Hospital London
2019/11/4,100000109,Emirates Hospital
2021/11/15,100000108,King Hamad University Hospital
2021/2/24,100000231,Mayo Clinic
2021/4/2,100000116,King Hamad University Hospital
2020/7/21,100000266,Salamaniya Hospital
2020/6/4,100000095,Salamaniya Hospital
2019/5/19,100000197,Emirates Hospital
2021/11/17,100000101,Mayo Clinic
2021/4/27,100000088,American Mission Hospital
2019/1/6,100000061,King Faisal Specialist Hospital & Research Centre
2019/9/24,100000286,King Faisal Specialist Hospital & Research Centre
2019/9/16,100000245,King Hamad University Hospital
2021/8/7,100000125,American Mission Hospital
2021/2/15,100000193,King Faisal Specialist Hospital & Research Centre
2020/10/18,100000023,King Faisal Specialist Hospital & Research Centre
2021/2/17,100000004,Al-Hilal Hospital
2019/8/24,100000227,Emirates Hospital
2021/6/8,100000192,King Faisal Specialist Hospital & Research Centre
2019/3/3,100000139,King Faisal Specialist Hospital & Research Centre
2019/4/6,100000006,Al-Hilal Hospital
2020/1/5,100000183,King Hamad University Hospital
2021/1/25,100000009,Bahrain Defence Force Hospital
2021/1/17,100000009,Bahrain Defence Force Hospital
2020/4/20,100000026,St Thomas Hospital London
2021/1/8,100000077,Mayo Clinic
2019/5/14,100000172,King Hamad University Hospital
2021/1/21,100000050,American Mission Hospital
2020/6/11,100000213,Salamaniya Hospital
2019/1/5,100000036,King Faisal Specialist Hospital & Research Centre
2019/6/6,100000016,Mayo Clinic
2019/2/13,100000267,St Thomas Hospital London
2020/11/1,100000100,Dar Al Shifa Hospital
2021/6/4,100000270,Al-Hilal Hospital
2019/10/12,100000009,Mayo Clinic
2021/3/9,100000229,King Faisal Specialist Hospital & Research Centre
2021/5/10,100000202,King Hamad University Hospital
2019/2/4,100000190,Al-Hilal Hospital
2019/2/21,100000213,Emirates Hospital
2020/11/17,100000036,King Faisal Specialist Hospital & Research Centre
2020/1/4,100000298,Mayo Clinic
2021/2/3,100000146,American Mission Hospital
2020/1/4,100000211,American Mission Hospital
2019/2/26,100000040,St Thomas Hospital London
2020/8/21,100000240,Mayo Clinic
2021/7/1,100000298,Salamaniya Hospital
2021/7/10,100000204,Mayo Clinic
2019/1/6,100000073,Dar Al Shifa Hospital
2020/8/7,100000071,American Mission Hospital
2021/11/7,100000236,St Thomas Hospital London
2020/4/22,100000141,Dar Al Shifa Hospital
2019/7/19,100000277,Mayo Clinic
2021/5/22,100000053,Salamaniya Hospital
2020/7/20,100000101,Dar Al Shifa Hospital
2019/1/16,100000102,Salamaniya Hospital
2020/4/21,100000177,Bahrain Defence Force Hospital
2020/5/9,100000116,King Faisal Specialist Hospital & Research Centre
2019/6/1,100000039,King Hamad University Hospital
2021/7/15,100000208,St Thomas Hospital London
2021/9/9,100000229,Al-Hilal Hospital
2021/6/22,100000141,King Hamad University Hospital
2021/3/12,100000186,American Mission Hospital
2019/8/18,100000059,King Hamad University Hospital
