ssn,fname,lname,age,gender,nurse_id,rec_id
100000083,Amanda,Diaz,21,F,29952,195
100000084,Cindy,Stewart,46,F,26118,285
100000085,Jeffrey,Clark,46,M,29889,337
100000086,Courtney,Cook,18,M,20112,334
100000087,Kristy,Love,36,M,4749,125
100000088,Erica,Rogers,72,F,27913,306
100000089,Eric,Anderson,18,F,25591,187
100000090,Evan,Hayden,34,F,12473,155
100000091,Yolanda,Miles,12,F,27913,111
100000092,Jonathan,Anderson,14,F,19099,200
100000093,Gary,Brock,68,F,8248,108
100000094,Kenneth,Morris,33,F,16062,218
100000095,Amber,Lam,15,M,13283,176
100000096,Richard,Perry,68,M,4780,314
100000097,Jessica,Graves,29,F,5152,274
100000098,David,Carpenter,70,M,16015,201
100000099,Connie,Reid,26,M,11886,301
100000100,Megan,Burns,33,M,24272,203
100000101,Benjamin,Kane,57,F,16588,141
100000102,Kevin,Murillo,48,F,17795,320
100000103,Tammie,Clark,74,M,10652,248
100000104,Vanessa,Davidson,14,M,18677,220
100000105,Mary,Jones,51,M,4244,165
100000106,Paul,Harrison,38,F,1740,309
100000107,Debra,Franco,31,F,1032,057
100000108,Neil,Smith,37,F,16569,298
100000109,Mary,Young,25,M,10252,181
100000110,Stacey,Hall,17,M,9382,117
100000111,Joshua,Bryan,37,F,21392,067
100000112,Deborah,Nguyen,38,F,20430,336
100000113,Jessica,Evans,33,F,19331,129
100000114,Gina,Simmons,80,M,21662,088
100000115,Glenn,Garner,22,F,23343,178
100000116,Sarah,Campbell,62,M,1918,071
100000117,Madison,Henson,44,M,7107,080
100000118,Jennifer,Mendoza,56,F,1024,148
100000119,Kristina,Martin,25,M,8282,175
100000120,Randall,Watson,62,M,12149,154
100000121,Phyllis,Brady,33,F,61,292
100000122,Daniel,Johnson,76,F,10584,179
100000123,Susan,Johnson,67,M,4969,063
100000124,Kimberly,Washington,30,M,19438,299
100000125,Kathleen,Evans,50,F,4312,273
100000126,Kimberly,Turner,40,M,645,186
100000127,Thomas,Williams,44,F,24580,234
100000128,Jennifer,Hall,29,F,4692,297
100000129,David,Bryant,61,F,19918,122
100000130,David,Hinton,41,F,971,313
100000131,Brandi,Vargas,49,F,20119,202
100000132,Katrina,Houston,20,F,24667,078
100000133,Meagan,Johnson,61,F,3701,189
100000134,Shane,Franklin,61,F,19744,173
100000135,Shannon,Knapp,25,F,26619,190
100000136,Paul,Villegas,73,F,10309,144
100000137,James,Sellers,15,F,6005,185
100000138,Wendy,Cummings,46,F,22541,197
100000139,Gabriella,Thomas,59,M,27202,214
100000140,Robin,Griffin,17,F,19740,158
100000141,Yesenia,Williamson,28,M,1531,229
100000142,Robert,Rivera,69,F,9791,116
100000143,David,Edwards,78,M,14211,091
100000144,Brian,Mercer,17,M,25086,143
100000145,Ashlee,Nichols,44,M,13901,081
100000146,Ashley,Mcdonald,15,M,12715,133
100000147,Robert,Coleman,45,F,7206,147
100000148,Casey,James,14,F,4337,095
100000149,Wendy,Hinton,66,F,1216,096
100000150,Johnny,Johnson,34,F,21014,112
100000151,Anthony,Jones,35,F,3052,171
100000152,Victoria,Deleon,48,F,17745,239
100000153,David,Scott,22,F,9667,232
100000154,Jessica,Kramer,40,M,19752,331
100000155,Michele,Robles,79,F,27904,324
100000156,Crystal,Smith,38,F,21057,205
100000157,Jennifer,Bridges,50,F,15045,328
100000158,Cynthia,Hart,22,M,20998,150
100000159,Matthew,Gonzalez,19,F,27176,069
100000160,Sarah,Barrett,78,F,22045,225
100000161,Sherry,Dunn,18,F,21045,283
100000162,Daniel,Keller,43,F,17401,245
100000163,Steve,Chung,58,F,5992,044
100000164,Lauren,Mcgrath,16,M,8253,139
100000165,James,Olson,61,F,463,056
100000166,Melissa,Rodriguez,36,M,11975,208
100000167,Sydney,Foley,54,F,3945,277
100000168,Laura,Garza,77,F,2119,123
100000169,Brandon,Sanders,57,M,14096,302
100000170,Carmen,Weber,80,F,806,070
100000171,Veronica,Gray,35,F,29522,127
100000172,Tanner,Bradley,46,F,10516,262
100000173,Kathryn,Rogers,21,M,20797,136
100000174,Christian,Smith,79,F,13292,325
100000175,Connie,Kelly,54,F,24402,317
100000176,Stacy,Krause,12,F,10354,288
100000177,Shannon,Griffin,73,M,19746,211
100000178,David,Kennedy,73,F,8711,105
100000179,Ryan,Powell,68,F,2012,213
100000180,Caleb,Collins,22,F,19333,047
100000181,Joseph,Prince,75,F,10695,276
100000182,Morgan,Martinez,27,M,15982,092
100000183,Michael,Reynolds,47,F,3731,055
100000184,Tracy,Stewart,33,F,1869,183
100000185,Jessica,Richard,17,M,14368,219
100000186,Devin,Flowers,27,F,5842,321
100000187,Evan,Brown,13,F,28655,251
100000188,Heather,Moore,24,M,19644,275
100000189,Andre,Henry,66,F,20180,294
100000190,Paula,Miller,64,F,21179,253
100000191,William,Beard,58,M,29484,131
100000192,Sarah,West,17,F,20855,167
100000193,Brittany,Burke,28,F,29460,118
100000194,Mackenzie,Williams,54,M,28428,308
100000195,Cathy,Ballard,28,F,15354,326
100000196,Sarah,Neal,40,F,1549,137
100000197,Phillip,Cooper,54,F,28639,066
100000198,Kenneth,Cortez,77,F,26654,115
100000199,Colin,Rivera,41,M,22094,191
100000200,Walter,Chavez,51,M,10551,280
100000201,Andrea,Lewis,71,F,9231,258
100000202,Nicholas,Schmidt,18,F,17862,065
100000203,Edward,Walker,28,F,4976,222
100000204,Daniel,George,64,F,22279,177
100000205,Christine,Barnes,59,M,28637,233
100000206,Diana,Hahn,30,M,16540,305
100000207,Stephen,Bush,67,F,27488,237
100000208,Michelle,Joseph,59,M,9554,226
100000209,Jared,Brock,42,M,12964,282
100000210,Jeffrey,Murillo,39,M,15654,249
100000211,Bradley,Rojas,46,F,28207,255
100000212,Holly,Davis,45,M,10823,159
100000213,Heather,Flowers,24,F,14520,243
100000214,Lynn,Barrera,70,F,8676,257
100000215,Thomas,Fernandez,74,F,22671,169
100000216,Samantha,Fisher,25,F,10493,126
100000217,Jeremy,Underwood,51,F,23385,100
100000218,Angela,Berry,23,F,6582,250
100000219,Kelly,Ortega,66,M,8516,107
100000220,Seth,Barry,62,F,18856,174
100000221,Christopher,Medina,52,F,2937,051
100000222,Lucas,Porter,13,F,25933,101
100000223,Anita,Jones,50,F,26875,339
100000224,Sarah,Manning,78,F,19595,086
100000225,Michael,Hoffman,59,F,8764,268
100000226,Michael,Pittman,69,F,23833,085
100000227,Michael,Smith,67,M,24260,072
100000228,Mark,Mckinney,31,F,29261,204
100000229,Katherine,Krueger,25,F,5555,052
100000230,Tara,Davis,72,M,24234,132
100000231,Margaret,Jones,28,F,24481,259
100000232,Jessica,Carpenter,38,M,16769,194
100000233,Mark,Proctor,15,M,20007,227
100000234,Melanie,Gordon,30,F,25816,106
100000235,David,Church,40,M,22247,182
100000236,Daniel,Taylor,70,F,4064,193
100000237,Daniel,Chambers,44,F,25022,261
100000238,Jay,Levy,41,F,9408,244
100000239,Brittany,Silva,25,M,2243,327
100000240,James,Carter,40,F,223,058
100000241,Scott,Vaughn,21,M,4667,329
100000242,Maria,Cannon,47,M,13230,322
100000243,Michael,Lynch,63,M,15369,180
100000244,Linda,Morgan,38,M,13493,210
100000245,Jennifer,Kelly,58,F,10530,164
100000246,Charles,Johnson,40,F,6583,289
100000247,Ryan,Walker,55,M,25671,068
100000248,James,Fowler,68,M,310,287
100000249,Ashley,Mejia,72,F,27470,053
100000250,Antonio,Duncan,39,M,3000,079
100000251,Jennifer,Cooper,59,F,29408,228
100000252,Peggy,Howard,75,F,16737,109
100000253,Kevin,Padilla,72,M,26598,254
100000254,Johnathan,Robinson,18,M,8859,140
100000255,Kimberly,Obrien,46,M,8820,209
100000256,Anthony,Erickson,55,F,23233,206
100000257,Shelby,Oneal,16,F,806,199
100000258,Jason,Romero,35,F,11377,075
100000259,Shelly,Riley,64,F,17032,172
100000260,Manuel,Shaw,59,F,12256,151
100000261,Karen,Davis,65,M,21626,084
100000262,Marc,Warren,19,F,1580,192
100000263,James,Tate,64,F,4139,104
100000264,Daniel,Miller,50,F,24372,113
100000265,Brittany,Williams,35,F,13256,318
100000266,Brendan,White,36,F,16992,153
100000267,Brandi,Edwards,21,M,28637,114
100000268,Stephanie,Lopez,78,M,24725,295
100000269,Kenneth,Williams,71,F,19,252
100000270,Stephanie,Greene,70,F,9345,291
100000271,Douglas,Moore,15,F,17829,099
100000272,Cody,Patterson,22,M,22480,271
100000273,Kimberly,Kelly,75,M,21109,304
100000274,Angela,Meyer,17,F,22221,062
100000275,Tom,Perez,63,F,20836,124
100000276,Laura,Peterson,53,M,29038,264
100000277,Jimmy,Frazier,38,M,26135,307
100000278,Sydney,Mann,62,M,28317,134
100000279,Steven,Mendez,29,F,28749,330
100000280,Christina,Murphy,72,F,8353,235
100000281,Janice,Parker,73,M,663,094
100000282,Scott,Hester,12,F,9386,266
100000283,Pamela,Hernandez,67,F,13367,278
100000284,Martin,Clark,12,F,21945,216
100000285,Wesley,Alvarado,41,F,19853,240
100000286,Lisa,Roberts,79,M,28622,260
100000287,Brian,Davis,62,M,18584,198
100000288,Kirsten,Lewis,70,F,11316,103
100000289,Haley,Smith,78,F,23571,163
100000290,Randall,Bruce,63,F,5855,263
100000291,Andre,Rodriguez,49,F,2109,059
100000292,Holly,Williams,21,F,9424,267
100000293,James,Castro,75,F,26932,157
100000294,Mary,Smith,54,M,25081,098
100000295,Hayden,Rodriguez,21,F,19203,332
100000296,Andrew,Turner,16,M,19415,090
100000297,Ronnie,Smith,41,F,6224,247
100000298,Steven,Terry,40,F,27182,060
100000299,Edward,Walker,23,M,11473,270
