nurse_id,name,gender,doc_id,hosp_name
43,Jackie Mills,F,1997,Al-Hilal Hospital
44,Tyler Brown,F,2932,Dar Al Shifa Hospital
45,Mrs. Jessica Allen,F,748,Mayo Clinic
46,Sean Mcdonald,F,857,Dar Al Shifa Hospital
47,Laura Kline,F,851,King Faisal Specialist Hospital & Research Centre
48,Leslie Stevens,F,1182,King Faisal Specialist Hospital & Research Centre
49,Marcus Walton,F,1765,American Mission Hospital
50,Marcus Burch,M,137,Bahrain Defence Force Hospital
51,Joseph Cook,F,466,Mayo Clinic
52,David Salas,F,1556,Salamaniya Hospital
53,Wanda Reid,M,828,King Hamad University Hospital
54,Morgan Gonzalez,F,1860,King Faisal Specialist Hospital & Research Centre
55,Christie Schwartz,M,801,American Mission Hospital
56,Sherry Snyder,F,550,King Hamad University Hospital
57,Courtney Yoder,F,1743,Emirates Hospital
58,Holly Small,F,790,Salamaniya Hospital
59,Melanie Jennings,F,2602,Bahrain Defence Force Hospital
60,Christopher Collins,F,1625,Dar Al Shifa Hospital
61,Richard Hamilton,F,1626,Dar Al Shifa Hospital
62,Melissa Thomas,M,997,King Faisal Specialist Hospital & Research Centre
63,Sabrina Cuevas,F,2546,American Mission Hospital
64,Daniel Campbell,M,2518,Mayo Clinic
65,Sandra Reid,F,827,King Faisal Specialist Hospital & Research Centre
66,Robin Davis,M,2065,Al-Hilal Hospital
67,Mark Taylor,F,1848,Salamaniya Hospital
68,Sergio Johnson,F,404,King Faisal Specialist Hospital & Research Centre
69,Lisa Hale,F,2985,Salamaniya Hospital
70,Jennifer Boyd,F,2650,King Hamad University Hospital
71,Kim Romero,M,45,Dar Al Shifa Hospital
72,Daniel Ruiz,M,2489,King Faisal Specialist Hospital & Research Centre
73,Brian Orozco,F,2816,Mayo Clinic
74,David Miller,F,197,Mayo Clinic
75,Caitlin Nelson,F,1709,Mayo Clinic
76,Carmen Holmes,M,2295,Bahrain Defence Force Hospital
77,Terrance Alvarez,M,1435,American Mission Hospital
78,Jessica Gomez,F,2926,Dar Al Shifa Hospital
79,Brittany Stevenson,M,138,St Thomas Hospital London
80,Shane Collins,F,467,King Hamad University Hospital
81,Dennis Mccoy,M,2654,American Mission Hospital
82,Laura Hughes,F,86,King Faisal Specialist Hospital & Research Centre
83,Joseph Reyes,F,2462,Emirates Hospital
84,Susan Gray,F,2657,Al-Hilal Hospital
85,Michael Blair,F,2371,Dar Al Shifa Hospital
86,Kristopher Odonnell,M,740,Dar Al Shifa Hospital
87,Kelly Guerrero,M,1205,Emirates Hospital
88,Amy Pierce,F,195,Dar Al Shifa Hospital
89,Jill Hayes,F,1585,Mayo Clinic
90,Justin Ramos II,M,2884,King Faisal Specialist Hospital & Research Centre
91,Terri Howell,F,2503,St Thomas Hospital London
92,Daniel Perry,F,152,Mayo Clinic
93,Russell Mckinney,F,1658,Dar Al Shifa Hospital
94,Kim Austin,F,784,Mayo Clinic
95,Geoffrey Morgan,F,2772,King Hamad University Hospital
96,Maria Dixon,F,504,Dar Al Shifa Hospital
97,Elizabeth Phillips,M,380,American Mission Hospital
98,Barbara Thompson,F,257,American Mission Hospital
99,James Lucas,F,2421,St Thomas Hospital London
100,Vincent Taylor,M,115,King Hamad University Hospital
101,George Stark,M,193,Al-Hilal Hospital
102,Bernard Caldwell,M,429,Bahrain Defence Force Hospital
103,Bryce Lane,F,1693,St Thomas Hospital London
104,Allen Mason,F,2675,St Thomas Hospital London
105,Heather Rodriguez,F,1356,Mayo Clinic
106,Brent Rose,F,2973,American Mission Hospital
107,Matthew Bryant,F,1123,Al-Hilal Hospital
108,Andre Lee,M,1684,Al-Hilal Hospital
109,Mary Calderon,F,1338,St Thomas Hospital London
110,Ashley Wilcox,F,2503,St Thomas Hospital London
111,Micheal Russell,F,1754,Bahrain Defence Force Hospital
112,Amanda Jenkins,F,2545,Al-Hilal Hospital
113,Todd Lester,F,2865,St Thomas Hospital London
114,Heather Jones,F,2813,Al-Hilal Hospital
115,Dr. Kyle Hanson,F,1614,King Hamad University Hospital
116,Tabitha Ward,F,2659,Dar Al Shifa Hospital
117,Michael Nelson,F,2622,American Mission Hospital
118,Ronald Bishop,F,1783,St Thomas Hospital London
119,Erika Wade,F,2676,Emirates Hospital
120,Mary Jones,F,1813,St Thomas Hospital London
121,Kyle Heath,F,1595,American Mission Hospital
122,Jacob Kelley,F,1903,King Faisal Specialist Hospital & Research Centre
123,Mrs. Rachel Beck PhD,F,1775,Dar Al Shifa Hospital
124,Candice Russo,F,1011,American Mission Hospital
125,Paul Mayo,F,2045,Dar Al Shifa Hospital
126,Gregory Hartman,F,1216,American Mission Hospital
127,Patricia Gonzalez,F,283,Al-Hilal Hospital
128,Blake Diaz,F,728,Bahrain Defence Force Hospital
129,Brandy Poole,F,909,King Hamad University Hospital
130,Laura Simpson,M,2715,Dar Al Shifa Hospital
131,Alexandria Sanchez,F,228,Salamaniya Hospital
132,Karen Wagner,F,1565,King Faisal Specialist Hospital & Research Centre
133,Harry Jones,F,1679,Al-Hilal Hospital
134,John Smith,F,2674,Al-Hilal Hospital
135,Steven Moore,F,96,American Mission Hospital
136,Michael Anderson,M,2289,Emirates Hospital
137,Shannon Smith,F,1407,King Faisal Specialist Hospital & Research Centre
138,Juan Leon,F,141,Salamaniya Hospital
139,Kimberly Wilson MD,M,2615,Mayo Clinic
140,Jacqueline Malone,F,878,St Thomas Hospital London
141,Brian Murray,M,645,Salamaniya Hospital
142,Tammy Scott,F,1857,American Mission Hospital
143,Mark Spencer,F,2611,American Mission Hospital
144,Morgan Ortega,F,1051,King Faisal Specialist Hospital & Research Centre
145,Richard York,F,2563,King Hamad University Hospital
146,Amy Lewis,F,894,King Hamad University Hospital
147,Alyssa Howell MD,F,1711,King Hamad University Hospital
148,Tony Mason,F,332,King Hamad University Hospital
149,Jacob Petty,F,1901,Emirates Hospital
150,Patrick Kane,F,1515,Emirates Hospital
151,Nicole Vaughn,F,1231,Mayo Clinic
152,Lori Lozano,F,2078,Salamaniya Hospital
153,Amanda Suarez,F,1192,Emirates Hospital
154,Jacqueline Cooley,M,457,Salamaniya Hospital
155,Danielle Gardner,F,2109,Al-Hilal Hospital
156,Tyler Villegas,F,661,King Faisal Specialist Hospital & Research Centre
157,Sherry Vazquez,F,1584,Mayo Clinic
158,Amy Hogan,F,238,Emirates Hospital
159,Sandra Burns,F,1091,King Faisal Specialist Hospital & Research Centre
160,Lisa Brown,F,568,King Hamad University Hospital
161,Tiffany Smith,F,2546,American Mission Hospital
162,Stephen Wood,F,1986,Bahrain Defence Force Hospital
163,Austin Eaton,F,1728,Mayo Clinic
164,Chad Perez,F,2614,Salamaniya Hospital
165,David Gross,F,2970,Emirates Hospital
166,Stephanie Norris,F,1567,Al-Hilal Hospital
167,Patricia Hartman,F,564,St Thomas Hospital London
168,Anthony Haney,F,2251,St Thomas Hospital London
169,Michelle Evans,F,2050,King Hamad University Hospital
170,Walter Pierce,F,368,King Hamad University Hospital
171,Clayton Conley,M,1031,Salamaniya Hospital
172,Jennifer Williams,F,1777,Mayo Clinic
173,Elizabeth Middleton,F,1900,Mayo Clinic
174,Chelsea Wallace,M,2969,Salamaniya Hospital
175,Kristen Thomas,F,1397,Mayo Clinic
176,Wendy Martinez,F,2185,Bahrain Defence Force Hospital
177,David Bryant,F,1293,Salamaniya Hospital
178,Richard Duffy,F,867,St Thomas Hospital London
179,Steven Krueger,F,1842,Dar Al Shifa Hospital
180,William Smith,F,2226,Al-Hilal Hospital
181,Alexander Martin,F,912,Bahrain Defence Force Hospital
182,Earl Livingston,M,551,Emirates Hospital
183,Malik Garcia,F,1284,St Thomas Hospital London
184,Alexis Kent,F,265,Al-Hilal Hospital
185,Steven Farmer,F,504,Dar Al Shifa Hospital
186,Joshua Kramer,F,2013,Mayo Clinic
187,Rachel Mccarthy,F,1964,St Thomas Hospital London
188,Ronald Montgomery,F,477,Dar Al Shifa Hospital
189,Patrick Foley,M,2783,American Mission Hospital
190,Lauren Mercado,M,1242,Salamaniya Hospital
191,Makayla Riddle,F,2513,Emirates Hospital
192,Christina Wilson,M,1894,American Mission Hospital
193,Jesus Armstrong,F,1338,St Thomas Hospital London
194,Daniel Jennings,F,701,Emirates Hospital
195,Eric Jones,F,2771,St Thomas Hospital London
196,Kara Beck,M,692,King Faisal Specialist Hospital & Research Centre
197,Anne Yang,M,2404,Emirates Hospital
198,Jamie Diaz,F,160,Bahrain Defence Force Hospital
199,Tonya Brooks,F,719,Dar Al Shifa Hospital
200,Crystal Diaz,M,628,Bahrain Defence Force Hospital
201,Michael Ruiz,M,1268,St Thomas Hospital London
202,Samantha Wood,M,1167,Bahrain Defence Force Hospital
203,Deanna Davidson,F,1815,Bahrain Defence Force Hospital
204,Dennis Lewis,F,2784,Bahrain Defence Force Hospital
205,Laurie Riley,M,862,Mayo Clinic
206,William Lara,F,776,Mayo Clinic
207,Kevin Rivera,F,260,Salamaniya Hospital
208,Ruben Rollins,F,1425,American Mission Hospital
209,John Arnold,F,560,Bahrain Defence Force Hospital
210,Allison Thomas,F,1418,Al-Hilal Hospital
211,Michael Kelly,F,340,Mayo Clinic
212,Kimberly Carr,F,1213,St Thomas Hospital London
213,Jamie Cook,F,2653,Al-Hilal Hospital
214,Aaron Joseph,F,801,American Mission Hospital
215,Leslie Morales,F,817,American Mission Hospital
216,Brittany Robinson,F,2531,Emirates Hospital
217,Eric Parks,F,212,Dar Al Shifa Hospital
218,William Taylor,F,2918,King Hamad University Hospital
219,Lisa Fitzpatrick,M,2005,Dar Al Shifa Hospital
220,Wendy Bush,F,430,King Faisal Specialist Hospital & Research Centre
221,Richard Mclaughlin,F,681,Salamaniya Hospital
222,Deborah Gonzalez,M,983,St Thomas Hospital London
223,Shannon Ruiz,F,301,St Thomas Hospital London
224,Mark Rodriguez,F,1982,St Thomas Hospital London
225,Kelsey Ochoa,M,1055,American Mission Hospital
226,Lindsay Cole,F,643,Emirates Hospital
227,Tanya Fox,M,837,Emirates Hospital
228,Theresa Rivera MD,F,909,King Hamad University Hospital
229,Felicia Smith,F,1335,King Faisal Specialist Hospital & Research Centre
230,Jerry Fuller,M,25,Dar Al Shifa Hospital
231,Jared Simmons,F,2042,Bahrain Defence Force Hospital
232,Jacob Morales,F,1939,Al-Hilal Hospital
233,Steven Johnson,F,2315,King Hamad University Hospital
234,Benjamin Garcia,F,1029,Dar Al Shifa Hospital
235,Alexander Jones,F,2798,Dar Al Shifa Hospital
236,Matthew Lynch,F,2326,King Faisal Specialist Hospital & Research Centre
237,Carl Delgado,F,1729,American Mission Hospital
238,Kimberly Smith,F,2242,King Faisal Specialist Hospital & Research Centre
239,Stephanie Martin,F,1042,Dar Al Shifa Hospital
240,Jeremy Shields,F,2872,Bahrain Defence Force Hospital
241,Madison Barrera,F,1245,Dar Al Shifa Hospital
242,John Payne,F,2493,Emirates Hospital
243,Joshua Swanson,F,1765,American Mission Hospital
244,Jose Ramirez,M,2916,Al-Hilal Hospital
245,Dr. Angela Fisher,M,1394,Emirates Hospital
246,Rodney Barnes,F,1873,American Mission Hospital
247,Marcus Wells,M,479,King Faisal Specialist Hospital & Research Centre
248,Marc Watson,F,2755,Emirates Hospital
249,Sarah Cummings,F,1193,Al-Hilal Hospital
250,Christopher Rogers,M,827,King Faisal Specialist Hospital & Research Centre
251,Kristin Ferrell,F,1232,Mayo Clinic
252,Kathy Cooper,F,252,Al-Hilal Hospital
253,Angela Johnson,F,232,Al-Hilal Hospital
254,Dwayne Dean,F,336,Dar Al Shifa Hospital
255,Jonathan Edwards,F,1946,Emirates Hospital
256,Christopher Martin,F,1383,Salamaniya Hospital
257,Holly Hill,F,193,Al-Hilal Hospital
258,Toni James,M,103,Salamaniya Hospital
259,Christopher Parker,F,1449,Salamaniya Hospital
260,Lisa Doyle,F,1049,Emirates Hospital
261,Ryan Hill,F,160,Bahrain Defence Force Hospital
262,Nancy Taylor,F,573,American Mission Hospital
263,Ryan Torres,F,1130,Dar Al Shifa Hospital
264,Jack Rodriguez,F,97,Salamaniya Hospital
265,Elijah Dawson,F,180,King Hamad University Hospital
266,Breanna Jarvis,F,1028,St Thomas Hospital London
267,Melissa Hoffman,F,834,American Mission Hospital
268,Christopher Smith,F,2224,Bahrain Defence Force Hospital
269,Brittany Obrien,F,128,Bahrain Defence Force Hospital
270,Cathy Hansen,F,1176,Mayo Clinic
271,William Castro,M,1633,Dar Al Shifa Hospital
272,Michael Williams,F,2021,American Mission Hospital
273,Briana Everett,F,1919,King Faisal Specialist Hospital & Research Centre
274,Anthony Sanchez,F,820,Bahrain Defence Force Hospital
275,Dillon Smith,F,1364,Emirates Hospital
276,Victoria Lane,F,1182,King Faisal Specialist Hospital & Research Centre
277,Elizabeth Howard,M,2369,Dar Al Shifa Hospital
278,Holly Martin,M,1050,King Hamad University Hospital
279,Dean Wright,F,734,St Thomas Hospital London
280,Patrick Williams,M,2189,American Mission Hospital
281,Janet Lee,F,249,Bahrain Defence Force Hospital
282,Connie Hodge,F,836,Mayo Clinic
283,John Brown,F,1,Mayo Clinic
284,Aaron Sanders,F,2695,Al-Hilal Hospital
285,Jane Thompson,F,1070,Emirates Hospital
286,Renee Gilmore,F,2217,American Mission Hospital
287,Christopher Johns,F,1043,Dar Al Shifa Hospital
288,Thomas Walton,F,2889,King Hamad University Hospital
289,John Simmons,F,664,Dar Al Shifa Hospital
290,Scott Santiago,F,53,Mayo Clinic
291,Michael Hunter,M,609,Bahrain Defence Force Hospital
292,Nicholas Moon,F,2367,Bahrain Defence Force Hospital
293,Francisco Harris,F,1532,American Mission Hospital
294,Jane Spears,F,1660,Al-Hilal Hospital
295,Christine Clark,F,2471,Emirates Hospital
296,Ronald Jones,M,1801,St Thomas Hospital London
297,Ryan Brown,F,1460,Emirates Hospital
298,Todd Freeman,F,207,Emirates Hospital
299,Christopher Sims,F,2901,King Faisal Specialist Hospital & Research Centre
300,Benjamin Smith,F,1189,Bahrain Defence Force Hospital
301,Donna Berry,F,1812,King Hamad University Hospital
302,Paul Randolph,F,801,American Mission Hospital
303,Michael Hansen,F,1030,Dar Al Shifa Hospital
304,Timothy Hughes,M,1121,King Faisal Specialist Hospital & Research Centre
305,Nicole Johnson,M,2669,American Mission Hospital
306,Jason Moore,M,683,St Thomas Hospital London
307,Mrs. Megan Harris,F,1744,St Thomas Hospital London
308,Dominic Alexander,F,1431,King Hamad University Hospital
309,Pamela Lloyd,F,2170,Dar Al Shifa Hospital
310,David Henson,F,374,Al-Hilal Hospital
311,Sydney Gonzalez,F,452,Dar Al Shifa Hospital
312,Jill Flores,M,235,St Thomas Hospital London
313,Kaitlin Willis,F,234,St Thomas Hospital London
314,Steven Turner,M,965,Al-Hilal Hospital
315,Daniel Maynard,F,91,Mayo Clinic
316,Nicholas Lambert,F,2426,St Thomas Hospital London
317,Tina Keller,F,2785,King Hamad University Hospital
318,Kimberly Hall,F,575,Dar Al Shifa Hospital
319,Dylan Ramirez,F,756,Bahrain Defence Force Hospital
320,Matthew Nielsen,F,235,St Thomas Hospital London
321,Jeremy Rosario,F,2848,Bahrain Defence Force Hospital
322,Michael Brown,F,894,King Hamad University Hospital
323,Michael Flores,F,1239,St Thomas Hospital London
324,Grant Vang,F,261,Dar Al Shifa Hospital
325,Jerry Jackson,F,2569,American Mission Hospital
326,Jessica Foster,F,2674,Al-Hilal Hospital
327,Mia Drake,F,1885,American Mission Hospital
328,Joseph Murillo,F,487,Mayo Clinic
329,Maria Snyder,M,298,Al-Hilal Hospital
330,Carla Thompson,F,1651,Al-Hilal Hospital
331,Angela Marshall,F,1246,Mayo Clinic
332,Bobby Jones,F,1761,Al-Hilal Hospital
333,Ashley Ramos,F,2177,Bahrain Defence Force Hospital
334,William Smith,F,1672,Dar Al Shifa Hospital
335,Jamie Clark,F,2741,Al-Hilal Hospital
336,Brian Curtis,F,1114,Al-Hilal Hospital
337,Clarence Murphy,F,937,King Faisal Specialist Hospital & Research Centre
338,Jesse Miller,M,2132,Dar Al Shifa Hospital
339,Tina Espinoza,F,1582,St Thomas Hospital London
340,Jose Chapman,F,347,American Mission Hospital
341,Craig Smith,F,1370,King Hamad University Hospital
342,Kim Harris,F,2951,Salamaniya Hospital
343,Michael Garrison,F,2672,King Hamad University Hospital
344,Deborah Romero,F,1284,St Thomas Hospital London
345,Hannah Cabrera,F,1735,Bahrain Defence Force Hospital
346,Robert Chavez,F,2950,Dar Al Shifa Hospital
347,John Carter,F,155,King Faisal Specialist Hospital & Research Centre
348,Benjamin Williams,F,2011,King Hamad University Hospital
349,Carlos Davidson,F,986,Mayo Clinic
350,Brendan Carr,F,1119,Mayo Clinic
351,Daniel Morgan,F,1886,King Faisal Specialist Hospital & Research Centre
352,Dakota Matthews,F,2322,St Thomas Hospital London
353,David Velez,F,1689,Emirates Hospital
354,Paul Wallace,M,1327,King Hamad University Hospital
355,Steven Ford,F,2487,American Mission Hospital
356,Cynthia Ruiz,F,713,Bahrain Defence Force Hospital
357,Harry Davis,M,1228,Al-Hilal Hospital
358,Walter Scott,F,2845,St Thomas Hospital London
359,William Perez,F,1318,Al-Hilal Hospital
360,Susan Swanson,F,923,Dar Al Shifa Hospital
361,John Jacobs,M,2681,Salamaniya Hospital
362,Thomas Cook,F,572,King Faisal Specialist Hospital & Research Centre
363,Robert Martin,F,2772,King Hamad University Hospital
364,Morgan Gallegos,F,2149,Salamaniya Hospital
365,Emily Wallace,F,2308,Dar Al Shifa Hospital
366,Amanda Vincent,F,1571,King Hamad University Hospital
367,Jo Hoffman,M,738,Salamaniya Hospital
368,Jacob Swanson,F,187,Mayo Clinic
369,Ryan Morris,F,221,Salamaniya Hospital
370,Samantha Frank,F,2485,Emirates Hospital
371,Susan Ryan,F,165,St Thomas Hospital London
372,James Matthews,F,2918,King Hamad University Hospital
373,Michael Moore,F,2378,Mayo Clinic
374,Kimberly Wright,F,704,Emirates Hospital
375,Leah Cox,F,1141,Emirates Hospital
376,Melissa Johnson,F,2981,Mayo Clinic
377,Tyler Lam,F,2043,Al-Hilal Hospital
378,Jeffrey Flores,F,2420,King Faisal Specialist Hospital & Research Centre
379,Jeffrey Williams,M,836,Mayo Clinic
380,Justin Miles,F,1810,Mayo Clinic
381,Hannah Ellis,M,1447,Emirates Hospital
382,Evelyn Ruiz,M,2637,King Hamad University Hospital
383,Michelle Davis,F,31,King Faisal Specialist Hospital & Research Centre
384,Gail Wiggins,F,2,American Mission Hospital
385,Jamie Brown,F,2157,Salamaniya Hospital
386,Denise Leonard,M,1462,Emirates Hospital
387,Sarah Frazier,F,2275,King Faisal Specialist Hospital & Research Centre
388,Elizabeth Christensen,F,1587,Salamaniya Hospital
389,Spencer Quinn,F,1449,Salamaniya Hospital
390,Brittney Ford,F,2468,King Hamad University Hospital
391,Todd Simmons,F,1166,Mayo Clinic
392,Ronald Brooks,F,1993,Emirates Hospital
393,Joseph Flores,F,2437,St Thomas Hospital London
394,James Adkins,F,513,Dar Al Shifa Hospital
395,Christine Garcia,F,2302,Bahrain Defence Force Hospital
396,David Brown,F,1388,King Hamad University Hospital
397,Elizabeth Faulkner,F,817,American Mission Hospital
398,Nancy Luna,F,2633,Mayo Clinic
399,Sharon Gray,F,867,St Thomas Hospital London
400,Tonya Cohen,F,728,Bahrain Defence Force Hospital
401,Tiffany Estrada,F,1172,Mayo Clinic
402,Daniel Cannon,F,1812,King Hamad University Hospital
403,Mrs. Katie Gutierrez,F,1843,Mayo Clinic
404,Elizabeth Buck,F,1440,Al-Hilal Hospital
405,Dan Parks,M,435,King Faisal Specialist Hospital & Research Centre
406,Austin Jordan,F,2506,Emirates Hospital
407,Nicolas Young,F,130,Emirates Hospital
408,Megan Williams MD,F,966,Mayo Clinic
409,Kelly Ramirez,F,1656,King Hamad University Hospital
410,Robert Kim,M,1424,Salamaniya Hospital
411,Mary Bowen,F,360,Bahrain Defence Force Hospital
412,Kenneth Russell,F,844,Bahrain Defence Force Hospital
413,Brandon Wood,F,128,Bahrain Defence Force Hospital
414,Sara Farley,M,1665,American Mission Hospital
415,Andrew Brown,F,1579,Bahrain Defence Force Hospital
416,Timothy Jennings,F,1596,St Thomas Hospital London
417,Sean Kim,M,777,Mayo Clinic
418,Melissa Simon,F,769,Emirates Hospital
419,Sherry Reyes,F,614,King Hamad University Hospital
420,Joseph Lynch,F,437,Bahrain Defence Force Hospital
421,Jeffrey Dunlap,F,247,Emirates Hospital
422,Jessica Moore,M,337,Mayo Clinic
423,Nicholas Black,F,915,Bahrain Defence Force Hospital
424,Colin Norris,F,2939,Bahrain Defence Force Hospital
425,Thomas Fisher,F,273,Bahrain Defence Force Hospital
426,Christina Hubbard,F,2261,Mayo Clinic
427,Nicholas Martinez,F,2047,Mayo Clinic
428,Sherry Cherry,F,1093,American Mission Hospital
429,Debbie Patterson,M,897,Salamaniya Hospital
430,Jennifer Moore,F,1546,King Hamad University Hospital
431,Dakota Gibson,F,990,Dar Al Shifa Hospital
432,Michelle Gibbs,F,2623,Al-Hilal Hospital
433,Robert Brown,F,2874,King Hamad University Hospital
434,Jane Williams,F,862,Mayo Clinic
435,Jillian Lewis,F,2097,American Mission Hospital
436,Tyler Butler,M,2723,Emirates Hospital
437,Crystal Ramos,F,2037,Mayo Clinic
438,Karen Li,F,1494,King Faisal Specialist Hospital & Research Centre
439,Mark Terrell,F,667,Salamaniya Hospital
440,Amanda Cline,F,1711,King Hamad University Hospital
441,Evan Zimmerman,F,365,King Hamad University Hospital
442,William Lopez,F,1544,American Mission Hospital
443,Michael Cook MD,F,713,Bahrain Defence Force Hospital
444,Anthony Rhodes,F,2675,St Thomas Hospital London
445,Elizabeth Obrien,F,2947,King Faisal Specialist Hospital & Research Centre
446,Lisa Kennedy,F,84,King Faisal Specialist Hospital & Research Centre
447,Sylvia Rhodes,F,854,Salamaniya Hospital
448,Eric Peterson,F,104,King Faisal Specialist Hospital & Research Centre
449,Alice Taylor,F,771,King Faisal Specialist Hospital & Research Centre
450,William Young,M,2516,Dar Al Shifa Hospital
451,Patricia Cameron,F,2622,American Mission Hospital
452,Jason Rodriguez,F,2388,Bahrain Defence Force Hospital
453,William Zuniga Jr.,F,172,Dar Al Shifa Hospital
454,Daniel Hernandez,F,989,Al-Hilal Hospital
455,Katie Small,F,2398,American Mission Hospital
456,Danielle Lamb,F,1841,Al-Hilal Hospital
457,Mrs. Rachel Moon DVM,F,490,Emirates Hospital
458,Elizabeth Garcia,F,925,Emirates Hospital
459,Elizabeth Brown,F,191,Bahrain Defence Force Hospital
460,Kenneth White,F,2174,St Thomas Hospital London
461,Kristina Williams,F,1063,St Thomas Hospital London
462,Maria Willis,M,392,Dar Al Shifa Hospital
463,Sheryl King,F,1714,Emirates Hospital
464,Bryan Wallace,F,445,Bahrain Defence Force Hospital
465,Jesus Klein,F,366,Mayo Clinic
466,Pedro Bell,F,648,Salamaniya Hospital
467,Devin White,F,945,American Mission Hospital
468,Charles Ruiz DDS,F,707,King Faisal Specialist Hospital & Research Centre
469,James Robertson,M,2381,American Mission Hospital
470,Judy Davis,F,1512,Dar Al Shifa Hospital
471,John Holmes,F,1809,Dar Al Shifa Hospital
472,Ryan Combs,F,2939,Bahrain Defence Force Hospital
473,James Sanders,F,2612,American Mission Hospital
474,Michael Serrano,F,260,Salamaniya Hospital
475,Jack Martin,F,1345,Mayo Clinic
476,Tanya Davidson,F,1182,King Faisal Specialist Hospital & Research Centre
477,Maria Mcdonald,F,2632,Bahrain Defence Force Hospital
478,Heather Cook,M,81,King Hamad University Hospital
479,Thomas Hunt,F,409,Emirates Hospital
480,Allison Kane,F,2130,King Faisal Specialist Hospital & Research Centre
481,Scott Rose,F,2138,St Thomas Hospital London
482,Alexander Graham,F,1418,Al-Hilal Hospital
483,Andrew Johnson,F,2742,King Faisal Specialist Hospital & Research Centre
484,Shelley Burch,F,737,King Faisal Specialist Hospital & Research Centre
485,Tara Schmidt,F,1007,King Hamad University Hospital
486,Michael Hendrix,F,1988,Salamaniya Hospital
487,Alexander Bolton,F,865,King Hamad University Hospital
488,Chelsea Miller MD,F,946,Mayo Clinic
489,Paige Cook,F,2536,Bahrain Defence Force Hospital
490,Karen Johnson,M,1542,King Hamad University Hospital
491,Kimberly Ramirez DVM,F,1637,American Mission Hospital
492,Melissa Arnold DDS,M,2529,King Faisal Specialist Hospital & Research Centre
493,Jerome Higgins,F,29,King Faisal Specialist Hospital & Research Centre
494,James Scott,M,2453,Bahrain Defence Force Hospital
495,Jeffrey Gordon,F,205,Dar Al Shifa Hospital
496,Sara Davis,F,599,St Thomas Hospital London
497,Karen Sullivan,M,1870,Emirates Hospital
498,Beth Harvey,M,2650,King Hamad University Hospital
499,Nathaniel Barber,F,2736,Emirates Hospital
500,Melinda Nguyen,M,2662,Bahrain Defence Force Hospital
501,Donald Burch,F,437,Bahrain Defence Force Hospital
502,Lisa Thornton,M,2601,Dar Al Shifa Hospital
503,Christine Hall,F,1431,King Hamad University Hospital
504,Steven Hopkins,M,2103,Bahrain Defence Force Hospital
505,Joshua Bowen,F,1582,St Thomas Hospital London
506,Donna Richards,F,2617,Al-Hilal Hospital
507,Debbie Navarro,F,2526,American Mission Hospital
508,Alfred Carter,F,303,Bahrain Defence Force Hospital
509,Heather Nguyen,F,1245,Dar Al Shifa Hospital
510,Linda Riggs,F,1908,St Thomas Hospital London
511,Matthew Powers,F,1908,St Thomas Hospital London
512,Barbara Long,F,2810,Emirates Hospital
513,Carrie Armstrong,M,1527,American Mission Hospital
