ssn,reg_no
100000060, 24
100000060, 27
100000060, 23
100000060, 27
100000061, 26
100000062, 25
100000062, 23
100000062, 23
100000062, 26
100000063, 20
100000063, 27
100000063, 28
100000063, 23
100000064, 23
100000064, 24
100000064, 24
100000065, 28
100000065, 28
100000065, 24
100000065, 26
100000066, 24
100000067, 21
100000067, 28
100000067, 22
100000067, 21
100000068, 24
100000068, 26
100000068, 23
100000068, 26
100000069, 23
100000069, 23
100000069, 28
100000070, 22
100000071, 24
100000071, 21
100000072, 26
100000073, 29
100000073, 22
100000073, 27
100000073, 24
100000074, 20
100000074, 28
100000074, 29
100000075, 21
100000075, 25
100000076, 26
100000076, 24
100000077, 23
100000077, 27
100000077, 29
100000078, 20
100000078, 29
100000078, 27
100000079, 21
100000079, 20
100000079, 23
100000079, 22
100000080, 28
100000080, 25
100000080, 26
100000080, 29
100000081, 25
100000082, 23
100000083, 25
100000083, 22
100000083, 26
100000084, 22
100000085, 21
100000085, 22
100000086, 21
100000087, 27
100000087, 23
100000087, 24
100000087, 23
100000088, 27
100000088, 25
100000088, 25
100000088, 20
100000089, 21
100000090, 20
100000091, 28
100000092, 21
100000092, 29
100000092, 26
100000092, 29
100000093, 25
100000093, 25
100000093, 20
100000093, 28
100000094, 29
100000094, 28
100000094, 26
100000094, 20
100000095, 23
100000095, 20
100000096, 23
100000096, 29
100000097, 29
100000097, 28
100000097, 26
100000097, 21
100000098, 24
100000098, 29
100000098, 20
100000098, 20
100000099, 28
100000099, 25
100000099, 21
100000100, 21
100000100, 26
100000100, 21
100000100, 20
100000101, 22
100000101, 23
100000101, 27
100000102, 21
100000103, 29
100000103, 25
100000103, 27
100000103, 29
100000104, 27
100000104, 21
100000105, 23
100000106, 23
100000106, 22
100000106, 27
100000107, 20
100000108, 21
100000108, 21
100000108, 23
100000108, 26
100000109, 24
100000109, 29
100000109, 20
100000109, 20
100000110, 26
100000111, 26
100000111, 24
100000111, 29
100000111, 27
100000112, 21
100000112, 26
100000112, 28
100000112, 25
100000113, 23
100000113, 21
100000114, 29
100000114, 21
100000114, 23
100000115, 26
100000116, 21
100000116, 28
100000117, 27
100000118, 22
100000118, 25
100000119, 28
100000119, 24
100000119, 29
100000119, 25
100000120, 22
100000120, 26
100000121, 29
100000122, 26
100000122, 28
100000123, 26
100000124, 23
100000124, 27
100000124, 21
100000125, 20
100000126, 24
100000126, 21
100000126, 20
100000127, 22
100000128, 20
100000128, 25
100000128, 28
100000129, 27
100000129, 26
100000129, 23
100000129, 27
100000130, 21
100000130, 28
100000130, 23
100000130, 26
100000131, 27
100000131, 26
100000132, 25
100000132, 27
100000132, 24
100000132, 24
100000133, 22
100000134, 25
100000134, 20
100000135, 21
100000135, 23
100000135, 22
100000135, 28
100000136, 25
100000136, 25
100000136, 24
100000137, 25
100000137, 20
100000138, 20
100000138, 26
100000138, 21
100000139, 24
100000139, 21
100000139, 20
100000140, 20
100000141, 26
100000142, 27
100000142, 24
100000143, 20
100000143, 24
100000144, 27
100000144, 26
100000144, 28
100000144, 29
100000145, 20
100000146, 20
100000146, 28
100000146, 22
100000147, 23
100000147, 28
100000147, 20
100000148, 22
100000148, 29
100000148, 23
100000149, 23
100000150, 23
100000150, 29
100000151, 23
100000151, 29
100000151, 29
100000152, 22
100000152, 27
100000152, 26
100000153, 22
100000153, 24
100000154, 24
100000154, 27
100000154, 23
100000154, 23
100000155, 24
100000155, 23
100000156, 25
100000156, 22
100000156, 20
100000156, 28
100000157, 22
100000157, 25
100000158, 25
100000158, 20
100000158, 20
100000158, 29
100000159, 23
100000159, 29
100000160, 27
100000161, 23
100000161, 24
100000161, 21
100000161, 28
100000162, 23
100000163, 29
100000163, 24
100000163, 27
100000163, 23
100000164, 28
100000164, 23
100000164, 22
100000165, 27
100000165, 24
100000165, 22
100000166, 28
100000167, 21
100000167, 25
100000167, 29
100000168, 26
100000168, 27
100000169, 29
100000169, 27
100000169, 28
100000169, 29
100000170, 21
100000171, 23
100000172, 21
100000173, 24
100000173, 20
100000173, 23
100000174, 22
100000174, 27
100000174, 26
100000175, 23
100000176, 25
100000177, 29
100000177, 21
100000177, 28
100000178, 25
100000179, 24
100000180, 25
100000180, 27
100000181, 22
100000181, 22
100000182, 29
100000183, 23
100000184, 28
100000185, 21
100000186, 21
100000186, 22
100000187, 25
100000187, 24
100000187, 27
100000187, 23
100000188, 24
100000188, 20
100000188, 23
100000189, 29
100000189, 28
100000189, 25
100000189, 25
100000190, 21
100000190, 24
100000190, 22
100000191, 22
100000192, 21
100000192, 28
100000192, 20
100000193, 26
100000194, 25
100000194, 28
100000194, 29
100000195, 21
100000195, 25
100000196, 25
100000197, 22
100000197, 22
100000197, 21
100000197, 28
100000198, 23
100000198, 23
100000198, 26
100000199, 28
100000200, 21
100000200, 29
100000200, 29
100000200, 23
100000201, 25
100000201, 29
100000202, 27
100000203, 28
100000203, 21
100000204, 24
100000204, 25
100000205, 27
100000205, 22
100000205, 28
100000205, 29
100000206, 29
100000206, 29
100000206, 22
100000206, 20
100000207, 20
100000207, 25
100000208, 26
100000209, 28
100000209, 25
100000209, 21
100000209, 20
100000210, 29
100000210, 21
100000210, 25
100000210, 27
100000211, 27
100000211, 23
100000211, 24
100000211, 22
100000212, 25
100000213, 21
100000213, 28
100000214, 28
100000214, 25
100000214, 27
100000214, 21
100000215, 24
100000215, 21
100000216, 28
100000216, 27
100000216, 22
100000216, 27
100000217, 22
100000217, 23
100000217, 29
100000217, 27
100000218, 24
100000218, 27
100000218, 29
100000219, 22
100000220, 25
100000220, 29
100000220, 26
100000221, 20
100000221, 21
100000222, 28
100000223, 20
100000224, 29
100000225, 20
100000225, 29
100000225, 25
100000226, 29
100000226, 28
100000226, 28
100000227, 23
100000228, 22
100000228, 29
100000229, 27
100000229, 20
100000229, 29
100000230, 26
100000231, 27
100000231, 28
100000231, 22
100000231, 27
100000232, 24
100000232, 28
100000232, 28
100000232, 28
100000233, 23
100000234, 28
100000234, 24
100000235, 28
100000235, 24
100000235, 24
100000235, 27
100000236, 26
100000237, 22
100000237, 26
100000238, 23
100000239, 22
100000240, 21
100000240, 28
100000241, 25
100000241, 21
100000242, 20
100000242, 29
100000242, 23
100000243, 24
100000243, 20
100000244, 28
100000244, 25
100000245, 24
100000245, 26
100000245, 24
100000245, 26
100000246, 26
100000246, 29
100000246, 22
100000247, 28
100000247, 20
100000247, 22
100000247, 26
100000248, 22
100000249, 20
100000249, 24
100000249, 27
100000249, 28
100000250, 24
100000250, 20
100000251, 20
100000252, 28
100000253, 27
100000253, 21
100000253, 26
100000254, 24
100000255, 27
100000255, 23
100000255, 25
100000256, 29
100000256, 25
100000256, 24
100000256, 25
100000257, 22
100000257, 22
100000257, 29
100000258, 29
100000258, 24
100000258, 26
100000259, 24
100000259, 22
100000259, 22
100000260, 24
100000261, 28
100000261, 28
100000261, 27
100000262, 29
100000262, 24
100000263, 23
100000263, 29
100000263, 26
100000263, 23
100000264, 20
100000264, 28
100000265, 22
100000265, 24
100000265, 22
100000266, 27
100000267, 23
100000267, 20
100000267, 24
100000268, 27
100000268, 28
100000269, 22
100000269, 27
100000270, 22
100000270, 22
100000270, 21
100000270, 24
100000271, 23
100000272, 21
100000272, 25
100000272, 21
100000273, 21
100000273, 26
100000273, 21
100000273, 28
100000274, 25
100000275, 24
100000275, 28
100000275, 25
100000275, 26
100000276, 28
100000276, 24
100000277, 29
100000278, 22
100000278, 29
100000278, 24
100000278, 21
100000279, 24
100000280, 25
100000280, 24
100000280, 24
100000281, 20
100000282, 25
100000282, 20
100000283, 28
100000283, 26
100000283, 25
100000283, 26
100000284, 23
100000284, 25
100000285, 28
100000286, 26
100000286, 20
100000286, 23
100000286, 23
100000287, 24
100000288, 29
100000288, 23
100000289, 22
100000290, 21
100000290, 28
100000291, 23
100000291, 23
100000291, 20
100000291, 23
100000292, 20
100000292, 29
100000292, 25
100000293, 28
100000294, 27
100000294, 21
100000294, 20
100000294, 29
100000295, 23
100000296, 24
100000296, 22
100000297, 25
100000297, 20
100000297, 22
100000298, 24
100000299, 21
100000299, 23
100000299, 22
